train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,final_accuracy
"[3.8718804924384407, 3.5292961830678196, 3.0071262302606003, 2.594458465990813, 2.244321972131729, 1.9672706308572188, 1.7298454292442487, 1.5612133832081505, 1.4115681713042052, 1.282431871994682, 1.180229932717655, 1.0924437680970067, 1.0118840667216673, 0.9552689557490142, 0.8943384425795596, 0.839389140839162, 0.803304778492969, 0.768716842583988, 0.7393946952146032, 0.7092344819203668, 0.6753059700131416, 0.6587708815932274, 0.635859342696874, 0.6097853624302408, 0.5891933211165926, 0.5605288889745007]","[0.015285326167941093, 0.07099185138940811, 0.28770381212234497, 0.48403534293174744, 0.6165081858634949, 0.690557062625885, 0.7598505616188049, 0.7761549353599548, 0.7995924353599548, 0.8145380616188049, 0.82472825050354, 0.834578812122345, 0.848505437374115, 0.8566576242446899, 0.8631114363670349, 0.8682065606117249, 0.874660313129425, 0.868546187877655, 0.8773777484893799, 0.8851902484893799, 0.879755437374115, 0.87941575050354, 0.887567937374115, 0.8899456858634949, 0.8947011232376099, 0.898097813129425]","[3.8903036946835727, 3.2370977194412895, 2.776234471279642, 2.3846238177755605, 2.0609593702399214, 1.793475462042767, 1.579597867053488, 1.4179139759229578, 1.2843889568163, 1.1740943582161614, 1.0784932789595232, 1.0055978531422822, 0.9399824945823007, 0.8799139157585476, 0.8333582256151282, 0.7916396156601284, 0.7632746644642042, 0.7175285194231116, 0.7024115557255952, 0.675988521264947, 0.6434717761433643, 0.6263216202673705, 0.6057204591191333, 0.5854742527008057, 0.5778468808402186, 0.5559830108414525]","[0.016304347664117813, 0.16983695328235626, 0.4103260934352875, 0.573369562625885, 0.65625, 0.7214673757553101, 0.7635869979858398, 0.7880434989929199, 0.8125, 0.813858687877655, 0.8369565606117249, 0.8478261232376099, 0.8600543737411499, 0.86277174949646, 0.8722826242446899, 0.8682065606117249, 0.8573369979858398, 0.88451087474823, 0.873641312122345, 0.8709239363670349, 0.8804348111152649, 0.8790761232376099, 0.88451087474823, 0.8913043737411499, 0.8790761232376099, 0.8913043737411499]",697.0737953186035,
"[0.5174499714504117, 0.4741357448308364, 0.2438746358713378, 0.15253573291651581, 0.10983639801649944, 0.07601172503326899, 0.062418174747701574, 0.05003066913670172, 0.039490631761272314, 0.03381707656966603, 0.02738837679119214, 0.019440570329923346, 0.02134734626515242, 0.019920004541864215, 0.01555914922779345, 0.01547458261737357, 0.019942352214180257, 0.017786378081402054, 0.018582570827161166, 0.014070313904717888, 0.012241059577639175, 0.009540823516030998, 0.009855551536336703, 0.0066417513703724935, 0.006884356373516114, 0.007841049497390328]","[0.9167799353599548, 0.884171187877655, 0.953464686870575, 0.9775815606117249, 0.98777174949646, 0.9942255616188049, 0.995244562625885, 0.995244562625885, 0.99660325050354, 0.9976223111152649, 0.9989809989929199, 0.9996603727340698, 0.9996603727340698, 0.998641312122345, 0.9996603727340698, 0.998641312122345, 0.99558424949646, 0.998641312122345, 0.9972826242446899, 0.9993206858634949, 0.9989809989929199, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0]","[0.5854742527008057, 0.3732755151779755, 0.3312504699696665, 0.3270427364370097, 0.2944309413433075, 0.30234210517095483, 0.3021406861750976, 0.30007497059262317, 0.28916903261257254, 0.29827654977207596, 0.2927867851179579, 0.3050559033518252, 0.3056717793578687, 0.31996496410473535, 0.28316803665264795, 0.2957443539863047, 0.3269841042549714, 0.3096521985919579, 0.30396647022470186, 0.30205659487325215, 0.29746692498093064, 0.31261057973555895, 0.29673256206771603, 0.3019858175969642, 0.2922381799182166, 0.3314221946765547]","[0.8913043737411499, 0.9008152484893799, 0.904891312122345, 0.9035326242446899, 0.9130434989929199, 0.9089674353599548, 0.9021739363670349, 0.9103261232376099, 0.917119562625885, 0.9130434989929199, 0.914402186870575, 0.9130434989929199, 0.9103261232376099, 0.9089674353599548, 0.9116848111152649, 0.9130434989929199, 0.89673912525177, 0.9089674353599548, 0.9130434989929199, 0.914402186870575, 0.9103261232376099, 0.9103261232376099, 0.917119562625885, 0.917119562625885, 0.91576087474823, 0.90625]",682.0532097816467,
"[0.014560298437414609, 0.03339208085494845, 0.03348199750863663, 0.026571814851511433, 0.026034944579410163, 0.0228161225905237, 0.020573845193923815, 0.018077536491150764, 0.01814133127766621, 0.017751546272927004, 0.01680819255441589, 0.014497504083682661, 0.016090251383898052, 0.013868160292749171, 0.012808658977282112, 0.013365812139059215, 0.011858898427580361, 0.01190846173963307, 0.0135561757741253, 0.01161976666290961, 0.011083933362818283, 0.010304346731256532, 0.011148077375053064, 0.0110132075674103, 0.009592483189645345, 0.009462872396081524]","[0.9996603727340698, 0.9979619979858398, 0.9979619979858398, 0.9989809989929199, 0.9979619979858398, 0.9993206858634949, 0.9993206858634949, 0.9996603727340698, 1.0, 0.9993206858634949, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9989809989929199, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.28916903261257254, 0.3036893353514049, 0.3002532727044562, 0.3025983763129815, 0.2945193045813104, 0.2860576387332833, 0.2885143685600032, 0.2754275951048602, 0.28665628316609754, 0.284049556631109, 0.2721916764326718, 0.2717053015594897, 0.28082581415124563, 0.27637746930122375, 0.27397184138712677, 0.2701051442519478, 0.27890091033085534, 0.2708520439008008, 0.28374988358953723, 0.27079108584186307, 0.29386051970979443, 0.28399133196343546, 0.2873212367944095, 0.29592873933522595, 0.2843547142718149, 0.28038514049156854]","[0.917119562625885, 0.9130434989929199, 0.9089674353599548, 0.9130434989929199, 0.914402186870575, 0.9116848111152649, 0.917119562625885, 0.91847825050354, 0.9116848111152649, 0.9211956858634949, 0.9130434989929199, 0.9130434989929199, 0.917119562625885, 0.9198369979858398, 0.91847825050354, 0.91847825050354, 0.917119562625885, 0.917119562625885, 0.9089674353599548, 0.91576087474823, 0.914402186870575, 0.917119562625885, 0.914402186870575, 0.9130434989929199, 0.917119562625885, 0.917119562625885]",685.3487758636475,
"[0.006369314999218383, 0.016605739107193505, 0.016165754388329453, 0.015170679559283282, 0.01485985365655759, 0.015401342073860376, 0.014801583652708518, 0.013355485143382912, 0.012579725994526045, 0.01315340064668461, 0.0124919676910276, 0.013342538018427465, 0.012475693821097198, 0.0128437503868633, 0.011999250536420099, 0.011986177191948113, 0.01191300736821216, 0.011935852842567407, 0.011996275603609241, 0.01165322750887793, 0.011052491011745904, 0.012267041207372171, 0.011337955937842313, 0.011469172571947716, 0.01051566802451144, 0.011634221983790074]","[1.0, 1.0, 0.9993206858634949, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9993206858634949, 1.0, 1.0, 1.0, 1.0]","[0.284049556631109, 0.286041171654411, 0.2737617252961449, 0.2791503321217454, 0.28205595457035565, 0.2777713158208391, 0.27746697450461594, 0.26560670396556024, 0.272761558384999, 0.2664185525930446, 0.27052751637023426, 0.27484923763119656, 0.2650166374185811, 0.26865608957798587, 0.27471814369377884, 0.2676218265424604, 0.2683060693999995, 0.27635494198488153, 0.2622681697425635, 0.26980493055737537, 0.27247584837934247, 0.27732461723296536, 0.2724799176921015, 0.27132645216972934, 0.2613804780918619, 0.2630160344035729]","[0.9211956858634949, 0.91847825050354, 0.9211956858634949, 0.9225543737411499, 0.9211956858634949, 0.91847825050354, 0.9239130616188049, 0.9239130616188049, 0.9225543737411499, 0.9198369979858398, 0.91847825050354, 0.91576087474823, 0.9239130616188049, 0.9225543737411499, 0.91847825050354, 0.92527174949646, 0.926630437374115, 0.9239130616188049, 0.92798912525177, 0.91847825050354, 0.9211956858634949, 0.9239130616188049, 0.9211956858634949, 0.9211956858634949, 0.92527174949646, 0.926630437374115]",683.3575527667999,
"[0.0048886294547549405, 0.011069449150691862, 0.011772453056081482, 0.01232888574367794, 0.011544565741053742, 0.011776641380730207, 0.010787635651902983, 0.010553586428337123, 0.010453926141211845, 0.010161258335954146, 0.010790416419141642, 0.011831653537228703, 0.01127663977019003, 0.010933011532356233, 0.011389522079337874, 0.011564268776134628, 0.011064473924267551, 0.012339689105789623, 0.010953270850460167, 0.010453923873643836, 0.01173225238048674, 0.011622270690682142, 0.010724767769241462, 0.009924317330486425, 0.010603468161602706, 0.010748605729769106]","[1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2622681697425635, 0.26230080198982486, 0.2610423331675322, 0.26941461116075516, 0.27144816226285434, 0.27059003419202304, 0.2658375776980234, 0.27646267543668335, 0.2775924481127573, 0.28056305582108704, 0.278687470956989, 0.2751055949408075, 0.27404852438232175, 0.276352691585603, 0.2758426948086075, 0.2704639412138773, 0.26542011810385663, 0.27508267436338507, 0.26356976803230203, 0.2738704833647479, 0.27594605153021606, 0.26748225125281705, 0.2774311135644498, 0.2708125901610955, 0.27048306069944217, 0.2710278040688971]","[0.92798912525177, 0.92798912525177, 0.9225543737411499, 0.9211956858634949, 0.926630437374115, 0.9307065606117249, 0.92798912525177, 0.92527174949646, 0.9225543737411499, 0.91847825050354, 0.91847825050354, 0.926630437374115, 0.9211956858634949, 0.91847825050354, 0.91576087474823, 0.9225543737411499, 0.92527174949646, 0.91847825050354, 0.926630437374115, 0.9198369979858398, 0.9211956858634949, 0.92527174949646, 0.926630437374115, 0.92798912525177, 0.9225543737411499, 0.9239130616188049]",663.3677697181702,
"[0.004619398141664494, 0.01042382025828018, 0.010314583560735311, 0.011071929404431063, 0.011039643629413584, 0.011677536328890077, 0.010825683028720643, 0.011188517683995482, 0.011037540637240138, 0.011047264449703305, 0.011337076141701444, 0.011324726409562256, 0.010572192815901793, 0.010161402873168498, 0.011429857189321647, 0.011933207683994071, 0.011200705786114153, 0.01152190609085981, 0.010609715589848549, 0.011408645740669706, 0.010185132445969983, 0.010770868889623038, 0.010964009490714448, 0.01044158380397636, 0.01117987801199374, 0.011161712785352669]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 0.9996603727340698, 1.0]","[0.27059003419202304, 0.26677083126876666, 0.2747512595809024, 0.26244267659342807, 0.27063967287540436, 0.26413161080816516, 0.2684579177395157, 0.26925062938876776, 0.27121499472338223, 0.2670025028612303, 0.2652576753626699, 0.2636374960774961, 0.265776793917884, 0.26854716662479483, 0.2622880106386931, 0.26715700717076013, 0.26615844958502316, 0.26488667596941406, 0.27354790173147037, 0.2736919574115587, 0.26386486220618954, 0.2667956935322803, 0.26455355759548105, 0.2649283684466196, 0.2706282867685608, 0.26798871256735013]","[0.9307065606117249, 0.92798912525177, 0.92798912525177, 0.92798912525177, 0.92527174949646, 0.9293478727340698, 0.9293478727340698, 0.92527174949646, 0.92527174949646, 0.9293478727340698, 0.92527174949646, 0.92798912525177, 0.92798912525177, 0.9307065606117249, 0.92798912525177, 0.926630437374115, 0.92798912525177, 0.9320652484893799, 0.9239130616188049, 0.926630437374115, 0.9293478727340698, 0.926630437374115, 0.9320652484893799, 0.9225543737411499, 0.9239130616188049, 0.92798912525177]",693.7559287548065,
"[0.004312194387792893, 0.011234602850416432, 0.011196996414345567, 0.011703617769576933, 0.011986668221652508, 0.011577781664369546, 0.011511374376309306, 0.011921359317215241, 0.011800229994823103, 0.010859645984095076, 0.010602706926874816, 0.011881383449730018, 0.011370544013081362, 0.011575619796412471, 0.011836278323165101, 0.011592276804351612, 0.011356198568018559, 0.011510810971705487, 0.010904249795914991, 0.010505928217595361, 0.010830716477990474, 0.010403061138830431, 0.011266066581415742, 0.011031367775538693, 0.010909880982185512, 0.010212608613073826]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0]","[0.26488667596941406, 0.26346359758273413, 0.2778201647426771, 0.26962080209151557, 0.2750893283797347, 0.2651622629036074, 0.2732366239247115, 0.2682606458016064, 0.26972919961680536, 0.263196397734725, 0.2649529174618099, 0.27107969509518665, 0.26896510208430496, 0.27061534089886624, 0.26204734522363415, 0.27048574290845706, 0.2700628745167152, 0.2715735506752263, 0.2681738173832064, 0.26887234786282416, 0.2738759987380194, 0.26882864923580835, 0.2715999484062195, 0.2668126461946446, 0.27314354932826496, 0.2674207833150159]","[0.9320652484893799, 0.9334239363670349, 0.92527174949646, 0.92527174949646, 0.9293478727340698, 0.9307065606117249, 0.9225543737411499, 0.92527174949646, 0.9211956858634949, 0.9293478727340698, 0.92798912525177, 0.9239130616188049, 0.92527174949646, 0.926630437374115, 0.9293478727340698, 0.9225543737411499, 0.92798912525177, 0.92798912525177, 0.92798912525177, 0.92798912525177, 0.92527174949646, 0.926630437374115, 0.9225543737411499, 0.926630437374115, 0.9307065606117249, 0.926630437374115]",674.7315764427185,88.90705914418098
