train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,final_accuracy
"[3.7622734385987986, 3.4140737445458123, 2.921312044496122, 2.5144384425619375, 2.1931295524472776, 1.924003312121267, 1.697649237902268, 1.5192787984143132, 1.3735216324744017, 1.2596688283526378, 1.1596301657998043, 1.0748351047868314, 1.0033206039148828, 0.9355423858632212, 0.8979958418918692, 0.8415109353220981, 0.7977196697307669, 0.767375058454016, 0.7315944854332053, 0.7000148529591768, 0.6714032489968382, 0.6511748922259911, 0.6284039085325988, 0.5989143582789794, 0.5912025399182154, 0.5693921547221101]","[0.03702445700764656, 0.1015625, 0.32846468687057495, 0.516983687877655, 0.639266312122345, 0.694972813129425, 0.7449048757553101, 0.77955162525177, 0.798233687877655, 0.8165761232376099, 0.828464686870575, 0.838994562625885, 0.845108687877655, 0.8600543737411499, 0.85597825050354, 0.8661684989929199, 0.8648098111152649, 0.8682065606117249, 0.8729619979858398, 0.876358687877655, 0.883152186870575, 0.885869562625885, 0.88892662525177, 0.89673912525177, 0.8926630616188049, 0.8933424353599548]","[3.711460714754851, 3.105390082234922, 2.664434681768003, 2.2850780279740044, 2.0015290560929673, 1.739852127821549, 1.55633006406867, 1.4062709497368855, 1.2806021441584048, 1.1649357676506042, 1.0791845865871594, 0.9984240687411764, 0.9403985531433768, 0.8966879611429961, 0.8453431233115818, 0.805220920106639, 0.7768600142520407, 0.7286144456137782, 0.7005829564903093, 0.6854965751585753, 0.654715473237245, 0.6230495338854583, 0.6139368518539097, 0.6037788196750309, 0.5858468853909037, 0.5685402919416842]","[0.03396739065647125, 0.22282609343528748, 0.4334239065647125, 0.595108687877655, 0.6807065606117249, 0.73097825050354, 0.758152186870575, 0.8057065606117249, 0.804347813129425, 0.820652186870575, 0.83152174949646, 0.832880437374115, 0.845108687877655, 0.85597825050354, 0.8586956858634949, 0.866847813129425, 0.8573369979858398, 0.8722826242446899, 0.8722826242446899, 0.8709239363670349, 0.8777174353599548, 0.8804348111152649, 0.8777174353599548, 0.88722825050354, 0.8885869979858398, 0.8817934989929199]",719.2308831214905,
"[0.5069435983896255, 0.44457882756124373, 0.23748417959912962, 0.1505399974386977, 0.11182459581481374, 0.08021012167243854, 0.053411257514001234, 0.04285606675092941, 0.040099752105205604, 0.03278777475023399, 0.02740457435340985, 0.02802273174545363, 0.025063967767535993, 0.01914331130683422, 0.016127557427946314, 0.015065842470073181, 0.012158136161894578, 0.013375266232406315, 0.017991410887233265, 0.010108444412016188, 0.011409757894200637, 0.01216529160687376, 0.009580731343822148, 0.01762523374054581, 0.010338753411222411, 0.016502203298327717]","[0.90285325050354, 0.8926630616188049, 0.95482337474823, 0.9786005616188049, 0.985733687877655, 0.9911684989929199, 0.99830162525177, 0.99830162525177, 0.99660325050354, 0.9979619979858398, 0.9979619979858398, 0.996942937374115, 0.9979619979858398, 0.998641312122345, 0.9996603727340698, 0.9993206858634949, 1.0, 0.99830162525177, 0.9979619979858398, 0.9996603727340698, 0.9989809989929199, 0.9993206858634949, 0.9993206858634949, 0.996942937374115, 0.9993206858634949, 0.9962636232376099]","[0.5858468853909037, 0.35160823101582733, 0.30065995584363525, 0.28868885370700254, 0.2732371953518494, 0.2740007234008416, 0.2585732719820479, 0.25019202251797135, 0.2588855852575406, 0.27040287722711975, 0.27533854641344235, 0.2897727648201196, 0.283296969273816, 0.2690095912827098, 0.2676546147660069, 0.2715482242081476, 0.2640252348197543, 0.32772154247631197, 0.2787214992162974, 0.2759454462515271, 0.2678162206126296, 0.2719446969744952, 0.2594357325654963, 0.26906024324505223, 0.27174323035970976, 0.3065691318200982]","[0.8885869979858398, 0.90625, 0.917119562625885, 0.9198369979858398, 0.9211956858634949, 0.92527174949646, 0.9211956858634949, 0.9225543737411499, 0.9211956858634949, 0.91847825050354, 0.91576087474823, 0.9089674353599548, 0.9130434989929199, 0.914402186870575, 0.9130434989929199, 0.91847825050354, 0.91847825050354, 0.90625, 0.91576087474823, 0.917119562625885, 0.92798912525177, 0.91847825050354, 0.9225543737411499, 0.9239130616188049, 0.9239130616188049, 0.89673912525177]",685.2049930095673,
"[0.003692442418389913, 0.00929403205341457, 0.010028620706061307, 0.009200632288728071, 0.008587581657237657, 0.006821302221278133, 0.006559634472385211, 0.005569202133262044, 0.005300634501390564, 0.0061988195305710415, 0.00593967914186499, 0.005456001309262912, 0.005583992087454332, 0.007962429693535618, 0.007924813878439043, 0.008555680283082082, 0.006329188385279849, 0.005948662098608506, 0.007696940219434707, 0.005857189873020853, 0.006579704649756541, 0.006166625298488804, 0.005771357204218436, 0.004985931830521187, 0.0048172942820794715, 0.0038391025230774412]","[1.0, 0.9993206858634949, 0.9993206858634949, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9993206858634949, 0.9989809989929199, 1.0, 0.9996603727340698, 0.9993206858634949, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0]","[0.2678162206126296, 0.28046620863935223, 0.2923081518839235, 0.28829258518374484, 0.2804562834941823, 0.2672216386898704, 0.27455845993498096, 0.27043480911980505, 0.26036042995426967, 0.2857316609310067, 0.26900573771284975, 0.2645447523049686, 0.2595823288935682, 0.29099591691856797, 0.2749480193723803, 0.2879319863150949, 0.270978052654992, 0.27149320701542107, 0.27740320255574974, 0.2617733979030796, 0.2756184976062049, 0.27800089201849437, 0.2737929252502711, 0.26330760153739347, 0.2667301441340343, 0.2603094828841479]","[0.92798912525177, 0.91847825050354, 0.91576087474823, 0.91847825050354, 0.91847825050354, 0.9293478727340698, 0.9211956858634949, 0.92527174949646, 0.9225543737411499, 0.9211956858634949, 0.9239130616188049, 0.9211956858634949, 0.926630437374115, 0.9198369979858398, 0.90625, 0.914402186870575, 0.91847825050354, 0.91576087474823, 0.92527174949646, 0.92527174949646, 0.917119562625885, 0.9103261232376099, 0.91576087474823, 0.9225543737411499, 0.926630437374115, 0.9225543737411499]",686.027441740036,
"[0.0020328971219461655, 0.006903147814623283, 0.005803927214836459, 0.005406808748375624, 0.006210714100313414, 0.00669531734614714, 0.005663457744167713, 0.005906673611404941, 0.005997920024168232, 0.005545302769979057, 0.005570626602528374, 0.005446166769378697, 0.0049988714504845275, 0.004935377643129829, 0.005571274274109822, 0.005342023679986596, 0.004432820225306584, 0.0045002714525807005, 0.004701760593730875, 0.006446092631212314, 0.005543459594027017, 0.004607593362300616, 0.004282576255955855, 0.005323491856435557, 0.004781054666913722, 0.004375743451933174]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9993206858634949, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2672216386898704, 0.2764687599695247, 0.26862084136708925, 0.26960660986926244, 0.27457031364674156, 0.2805260785895845, 0.27981400473610213, 0.2724996230200581, 0.2746487956332124, 0.2667537838544535, 0.27163266520137375, 0.27469295457653375, 0.2706849633351616, 0.2700927856823672, 0.26393218184618844, 0.26607825696144416, 0.2698177089509757, 0.26669811165851093, 0.273588336761231, 0.2753254176805849, 0.2664808608267618, 0.2671347403008005, 0.2698265244455441, 0.26632001558723656, 0.2597501277923584, 0.2690786722561587]","[0.9293478727340698, 0.9198369979858398, 0.92798912525177, 0.9239130616188049, 0.9225543737411499, 0.91576087474823, 0.91847825050354, 0.9225543737411499, 0.9198369979858398, 0.9198369979858398, 0.91847825050354, 0.9211956858634949, 0.9239130616188049, 0.92798912525177, 0.9320652484893799, 0.9320652484893799, 0.92527174949646, 0.92798912525177, 0.9239130616188049, 0.9239130616188049, 0.9320652484893799, 0.936141312122345, 0.9211956858634949, 0.9320652484893799, 0.9334239363670349, 0.9334239363670349]",681.9558925628662,
"[0.0014116507632222595, 0.004707312089917453, 0.004610117475512316, 0.004372264240848143, 0.005167370173654965, 0.005183031990030861, 0.0044978900708804795, 0.004525011716633226, 0.004454980929554237, 0.005010223605811758, 0.00436029540572275, 0.004177353905422775, 0.004188648889438533, 0.004111465472859614, 0.004668737375734212, 0.004837344019704134, 0.004796218238366039, 0.005109504430868622, 0.004463021070240875, 0.0044602841498208754, 0.004199208518358595, 0.0047209458261141144, 0.004441378548306048, 0.0046742744895670076, 0.004796115228521597, 0.0043639940546278885]","[1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2671347403008005, 0.26984570726104407, 0.27251810110781505, 0.2713948970903521, 0.2777591564733049, 0.27333031068353547, 0.27431497423221235, 0.2660666994912469, 0.26532050035893917, 0.2720678542619166, 0.2724086549942908, 0.2687713067330744, 0.2607077578811542, 0.2676950010430554, 0.2737108673900366, 0.26829961193320545, 0.2634477496309125, 0.2688469667311596, 0.2564179285874833, 0.27024500088199327, 0.2678702885851912, 0.26353394766540633, 0.26687815226614475, 0.2680054107761901, 0.2692363286471885, 0.26398715733186057]","[0.936141312122345, 0.92798912525177, 0.9239130616188049, 0.92798912525177, 0.92798912525177, 0.9239130616188049, 0.9239130616188049, 0.926630437374115, 0.9211956858634949, 0.92527174949646, 0.92527174949646, 0.926630437374115, 0.926630437374115, 0.9239130616188049, 0.92798912525177, 0.92798912525177, 0.92527174949646, 0.9239130616188049, 0.9307065606117249, 0.9307065606117249, 0.9293478727340698, 0.9293478727340698, 0.9239130616188049, 0.9239130616188049, 0.926630437374115, 0.9211956858634949]",665.1168875694275,
"[0.0013610177354522698, 0.004448196449590361, 0.004441324006462389, 0.004205225754286284, 0.004265891599377779, 0.004061351477107762, 0.003938900954697443, 0.004120422119740397, 0.004591214259246202, 0.004600411074732066, 0.004462143297448916, 0.00414460671701185, 0.004506560634700177, 0.0042644129969868, 0.0039042970481956295, 0.004385408556908774, 0.00417030224090685, 0.004180673171978687, 0.004320370372506263, 0.004347023584515504, 0.003924245528532597, 0.004420589927695287, 0.00428256296309764, 0.005169704574180524, 0.00487203736860386, 0.004530522662326289]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698]","[0.2564179285874833, 0.26518287574467453, 0.26230341973512067, 0.26569375031344267, 0.2659395252880843, 0.26372697884621826, 0.26941304135581723, 0.26694453653434047, 0.2654200232709232, 0.2666170639998239, 0.2622739750406016, 0.26252913742285705, 0.27059759142930095, 0.26943881145637966, 0.26602745963179547, 0.2653088671681674, 0.2644022631904353, 0.25953042895897577, 0.27026538145930873, 0.26060068825988664, 0.27030236095837923, 0.26754689184219943, 0.2616457317996284, 0.26252606065700884, 0.2698995806276798, 0.26590247679015866]","[0.9307065606117249, 0.9307065606117249, 0.9334239363670349, 0.926630437374115, 0.9239130616188049, 0.9239130616188049, 0.92527174949646, 0.92798912525177, 0.92798912525177, 0.92798912525177, 0.92527174949646, 0.926630437374115, 0.926630437374115, 0.9225543737411499, 0.9334239363670349, 0.926630437374115, 0.9239130616188049, 0.9293478727340698, 0.92527174949646, 0.9347826242446899, 0.926630437374115, 0.926630437374115, 0.9293478727340698, 0.92798912525177, 0.9239130616188049, 0.9320652484893799]",677.9445662498474,88.33469610248024
