train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.619514421276424, 3.3956026797709256, 2.976382424002108, 2.624266741068467, 2.3197375872860784, 2.0626472675282024]","[0.02445652149617672, 0.20754076540470123, 0.61888587474823, 0.790421187877655, 0.835597813129425, 0.871942937374115]","[3.6261955033177915, 3.1890083084935728, 2.827863133471945, 2.529262418332307, 2.2523206005925718, 2.0250809140827344]","[0.02038043551146984, 0.426630437374115, 0.7241848111152649, 0.7771739363670349, 0.82201087474823, 0.8491848111152649]",190.61633396148682,0.8491848111152649,
"[1.948301066523013, 0.7909847472025, 0.3156016780792371, 0.21170650309194688, 0.16930517327526343, 0.1336793326165365]","[0.895380437374115, 0.8930027484893799, 0.9324049353599548, 0.94972825050354, 0.959578812122345, 0.965692937374115]","[2.0250809140827344, 0.3594178848940393, 0.25702942810628726, 0.22724923264721167, 0.27636072071998014, 0.3099099088298238]","[0.8491848111152649, 0.91576087474823, 0.9320652484893799, 0.9402174353599548, 0.91847825050354, 0.9008152484893799]",195.14811491966248,0.9402174353599548,
"[0.09095476470563722, 0.13679481281534486, 0.10892279352992773, 0.10360381893975579, 0.09212645353830379, 0.08849272662368805]","[0.9836956858634949, 0.971807062625885, 0.9819973111152649, 0.9816576242446899, 0.98607337474823, 0.9850543737411499]","[0.22724923264721167, 0.20229672073670055, 0.19238797607629196, 0.1960088040517724, 0.20426073054904523, 0.21139414478903232]","[0.9402174353599548, 0.9442934989929199, 0.945652186870575, 0.9429348111152649, 0.9415761232376099, 0.9375]",217.31398749351501,0.945652186870575,
"[0.04328946910960519, 0.09360802542094303, 0.09192029095214346, 0.08986025886691135, 0.08346433421272946, 0.0914273743679666]","[0.9972826242446899, 0.9870924353599548, 0.987432062625885, 0.99048912525177, 0.9901494979858398, 0.9840353727340698]","[0.19238797607629196, 0.1943115496441074, 0.1900040811818579, 0.1961271847071855, 0.19346243175475494, 0.18274864376239155]","[0.945652186870575, 0.945652186870575, 0.9442934989929199, 0.9415761232376099, 0.945652186870575, 0.948369562625885]",227.82415080070496,0.948369562625885,91.82338511856092
