train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.6254813619281934, 3.3913169788277666, 2.9599170632984326, 2.606059027754742, 2.2888807809871174, 2.029215096131615]","[0.01936141401529312, 0.20414403080940247, 0.6069973111152649, 0.7802309989929199, 0.854619562625885, 0.8773777484893799]","[3.6221834783968716, 3.1751721941906474, 2.797998573469079, 2.489478422247845, 2.221231159956559, 1.9943154117335444]","[0.02038043551146984, 0.4211956560611725, 0.6820652484893799, 0.80027174949646, 0.845108687877655, 0.86548912525177]",183.23450374603271,0.86548912525177,
"[1.9173284833845885, 0.7157113406321277, 0.272923844502024, 0.1720083680651758, 0.12787644166256423, 0.13834218190901953]","[0.9021739363670349, 0.90183424949646, 0.9351223111152649, 0.9609375, 0.970108687877655, 0.959578812122345]","[1.9943154117335444, 0.31770570640978607, 0.23405714624601862, 0.26597545684679696, 0.2513810972804609, 0.3047125559786092]","[0.86548912525177, 0.914402186870575, 0.938858687877655, 0.907608687877655, 0.92527174949646, 0.8913043737411499]",200.50953769683838,0.938858687877655,
"[0.11872240743073433, 0.17090655288294607, 0.13172493644220673, 0.11112401747833127, 0.10818553217889174, 0.10608222971305899]","[0.984714686870575, 0.9667119979858398, 0.9789402484893799, 0.984714686870575, 0.9836956858634949, 0.983016312122345]","[0.23405714624601862, 0.21136910857065863, 0.19852368938534157, 0.1936312525168709, 0.19490571627798287, 0.2069140500996424]","[0.938858687877655, 0.938858687877655, 0.94701087474823, 0.945652186870575, 0.9415761232376099, 0.9429348111152649]",215.37779450416565,0.94701087474823,
"[0.06602510494058547, 0.10770906580855018, 0.10941873134478279, 0.10434670292812845, 0.10067273279571015, 0.10756777291712553]","[0.9915081858634949, 0.9864130616188049, 0.984375, 0.98607337474823, 0.9881114363670349, 0.9867527484893799]","[0.19852368938534157, 0.19981325871270636, 0.20581966670958893, 0.19594293055327042, 0.20351916729756023, 0.19561312120893729]","[0.94701087474823, 0.9442934989929199, 0.9442934989929199, 0.945652186870575, 0.94701087474823, 0.9442934989929199]",230.47199273109436,0.94701087474823,92.0686835650041
