train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.6251469539559404, 3.392897611079009, 2.9736514843028523, 2.6290508405021997]","[0.027853261679410934, 0.23607337474822998, 0.618546187877655, 0.78464674949646]","[3.622913868530937, 3.1729679625967275, 2.8210126939027207, 2.514979766762775]","[0.03396739065647125, 0.4646739363670349, 0.7241848111152649, 0.8084239363670349]",200.19624400138855,0.8084239363670349,
"[2.4637131379998247, 1.397038151388583, 0.5363479441274768, 0.33938800673121994]","[0.8539402484893799, 0.84816575050354, 0.91236412525177, 0.9317255616188049]","[2.514979766762775, 0.6064060732074406, 0.36992691910785175, 0.3019347851691039]","[0.8084239363670349, 0.9021739363670349, 0.9225543737411499, 0.9347826242446899]",210.28879070281982,0.9347826242446899,
"[0.16566220298409462, 0.23010864764775918, 0.20268455544567626, 0.19006550231057665]","[0.9745244979858398, 0.9572011232376099, 0.9633152484893799, 0.9680706858634949]","[0.3019347851691039, 0.25013067378945975, 0.2477514047337615, 0.2437374459012695]","[0.9347826242446899, 0.9415761232376099, 0.938858687877655, 0.9293478727340698]",215.17156147956848,0.9415761232376099,
"[0.11146796162685622, 0.20231225544019885, 0.20488536835688612, 0.19637281747291918]","[0.984375, 0.96705162525177, 0.9677309989929199, 0.9724864363670349]","[0.25013067378945975, 0.24323287023150403, 0.24246906165195548, 0.24376286436682162]","[0.9415761232376099, 0.9415761232376099, 0.9415761232376099, 0.9415761232376099]",219.27294301986694,0.9415761232376099,
"[0.10165784588974455, 0.19261823343517986, 0.19805745124492957, 0.19595884207798087]","[0.9894701242446899, 0.9694293737411499, 0.9667119979858398, 0.969089686870575]","[0.24376286436682162, 0.24026279021864352, 0.24189785025689914, 0.24240435012008832]","[0.9415761232376099, 0.9442934989929199, 0.9429348111152649, 0.9429348111152649]",235.57842779159546,0.9442934989929199,91.87789588443718
