train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.5975038875704226, 3.372237526852152, 2.9487399718035823, 2.5898391889489214]","[0.03498641401529312, 0.24116848409175873, 0.6334918737411499, 0.787703812122345]","[3.6006068250407344, 3.16424966895062, 2.8009391556615415, 2.4907376973525337]","[0.04076087102293968, 0.4945652186870575, 0.7160326242446899, 0.782608687877655]",197.51983380317688,0.782608687877655,
"[2.433225991933242, 1.1721547492172406, 0.40545463335254917, 0.24697962435691254]","[0.8665081858634949, 0.86277174949646, 0.9296875, 0.94361412525177]","[2.4907376973525337, 0.4910169800986414, 0.3081499260404836, 0.23722860055125278]","[0.782608687877655, 0.9089674353599548, 0.9307065606117249, 0.9402174353599548]",207.6495704650879,0.9402174353599548,
"[0.09173952107844145, 0.15478095687601878, 0.12725147884339094, 0.11264192393940428]","[0.98607337474823, 0.970108687877655, 0.9816576242446899, 0.98879075050354]","[0.23722860055125278, 0.21260228574923848, 0.19699598751638248, 0.20456553655474083]","[0.9402174353599548, 0.94701087474823, 0.9510869979858398, 0.9442934989929199]",219.8854730129242,0.9510869979858398,
"[0.05711052736834339, 0.1191314704635221, 0.11598332031913426, 0.11573535944942547]","[0.9949049353599548, 0.9786005616188049, 0.9833559989929199, 0.9836956858634949]","[0.19699598751638248, 0.20722380086131717, 0.1972364614839139, 0.19844962948042413]","[0.9510869979858398, 0.9442934989929199, 0.9524456858634949, 0.94701087474823]",227.49137711524963,0.9524456858634949,
"[0.057069517996000206, 0.11313938738211342, 0.11449363115041153, 0.11269958592627359]","[0.995244562625885, 0.985733687877655, 0.984375, 0.9833559989929199]","[0.1972364614839139, 0.19875200886441313, 0.19038016899772311, 0.20339413797077927]","[0.9524456858634949, 0.94701087474823, 0.9551630616188049, 0.94701087474823]",256.96299958229065,0.9551630616188049,92.36849277732352
