train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.6107268307519997, 3.3945874053498972, 2.963650166988373, 2.5975240417148755, 2.2777624233909277, 2.004316348096599]","[0.021059783175587654, 0.22078804671764374, 0.6290761232376099, 0.765285313129425, 0.84986412525177, 0.8739809989929199]","[3.6143094042073125, 3.1817952031674595, 2.814334662064262, 2.499528998913972, 2.2098152533821436, 1.9509495185769123]","[0.019021740183234215, 0.4442934989929199, 0.6616848111152649, 0.7771739363670349, 0.8165761232376099, 0.8410326242446899]",177.59764337539673,0.8410326242446899,
"[1.863804482895395, 0.6699813131404959, 0.23968975861435352, 0.14814785394169713, 0.090474870632929, 0.09428680030143131]","[0.9082880616188049, 0.9052309989929199, 0.9398777484893799, 0.962296187877655, 0.979619562625885, 0.97826087474823]","[1.9509495185769123, 0.32378217383571295, 0.21799773139798123, 0.20368964629976646, 0.21834362557400827, 0.20716970170969548]","[0.8410326242446899, 0.917119562625885, 0.936141312122345, 0.936141312122345, 0.9307065606117249, 0.9375]",194.86599493026733,0.9375,
"[0.026104273851555976, 0.06485048770580602, 0.04663473110565025, 0.04315072266668405, 0.03547939248686737, 0.032052633555039116]","[0.9962636232376099, 0.9894701242446899, 0.9918478727340698, 0.99388587474823, 0.9945652484893799, 0.99558424949646]","[0.20716970170969548, 0.17880298553601556, 0.17043610953766367, 0.16323287153373595, 0.1614271593482598, 0.15503276009922443]","[0.9375, 0.9510869979858398, 0.9538043737411499, 0.9538043737411499, 0.95923912525177, 0.9538043737411499]",210.23675179481506,0.95923912525177,
"[0.010692508025702251, 0.02861954641285474, 0.028763985443536356, 0.02680306033352795, 0.028691406685696995, 0.024390197146440976]","[0.9993206858634949, 0.996942937374115, 0.9979619979858398, 0.9979619979858398, 0.9972826242446899, 0.9989809989929199]","[0.1614271593482598, 0.16455817740896475, 0.15342167708212914, 0.1497510090146376, 0.15755387913921606, 0.15412785647355992]","[0.95923912525177, 0.9551630616188049, 0.95923912525177, 0.9605978727340698, 0.957880437374115, 0.95923912525177]",224.11530709266663,0.9605978727340698,
"[0.010319365315017816, 0.027358323133186153, 0.02642871920302834, 0.027652472095644993, 0.028046682689581878, 0.022835543237464583]","[0.9993206858634949, 0.9972826242446899, 0.9979619979858398, 0.9959239363670349, 0.9976223111152649, 0.9989809989929199]","[0.1497510090146376, 0.1528869945070018, 0.1533229031154643, 0.1609824622940758, 0.1593088277656099, 0.15492034735886948]","[0.9605978727340698, 0.9605978727340698, 0.95923912525177, 0.95652174949646, 0.9551630616188049, 0.95652174949646]",241.32385182380676,0.9605978727340698,
"[0.009011181557308073, 0.029548942081063338, 0.02926163930121971, 0.02576735929545501, 0.027020401604797527, 0.02860595477218537]","[1.0, 0.99660325050354, 0.9976223111152649, 0.9976223111152649, 0.9989809989929199, 0.996942937374115]","[0.1528869945070018, 0.15372102318898492, 0.15686840410141842, 0.15624681171839652, 0.15368969746581887, 0.1524801039663346]","[0.9605978727340698, 0.9551630616188049, 0.95923912525177, 0.9551630616188049, 0.95652174949646, 0.9605978727340698]",241.69147849082947,0.9605978727340698,
"[0.009444606870048396, 0.026941654191392918, 0.026995289033157347, 0.028104887020004833, 0.03071336009863602, 0.02719538550540481]","[0.9996603727340698, 0.996942937374115, 0.998641312122345, 0.99660325050354, 0.99660325050354, 0.996942937374115]","[0.1524801039663346, 0.15483812777244527, 0.1509696609624054, 0.15843288624740165, 0.15352380251430947, 0.1584032572319974]","[0.9605978727340698, 0.957880437374115, 0.957880437374115, 0.9551630616188049, 0.9551630616188049, 0.95923912525177]",248.47543096542358,0.95923912525177,91.9051512673753
