Epoch,Top-1 Accuracy,Top-5 Accuracy,Total Loss,Supervised Loss,Unsupervised Loss
1,6.896551609039307,34.482757568359375,3.7354133129119873,3.7354133129119873,0.0
2,41.379310607910156,72.4137954711914,1.691534012556076,1.691534012556076,0.0
3,44.82758712768555,96.55171966552734,0.3708338439464569,0.362205371260643,0.008628473209682852
4,51.72413635253906,100.0,0.14610705524683,0.11706624366343021,0.029040811816230416
5,51.72413635253906,100.0,0.08839473780244589,0.029952826909720898,0.058441910427063704
6,55.17241287231445,100.0,0.1169989313930273,0.016362488269805908,0.1006364431232214
7,55.17241287231445,93.10344696044922,0.16934975609183311,0.011210555210709572,0.15813920088112354
8,62.068965911865234,93.10344696044922,0.11679925583302975,0.01945790951140225,0.09734134748578072
9,55.17241287231445,93.10344696044922,0.14426767081022263,0.035899006528779864,0.10836866684257984
10,51.72413635253906,93.10344696044922,0.16445878148078918,0.027454558643512428,0.13700422085821629
11,51.72413635253906,89.6551742553711,0.1826433204114437,0.048612439539283514,0.1340308804064989
12,58.62068939208985,93.10344696044922,0.14694727584719658,0.031119138235226274,0.11582814063876867
13,51.72413635253906,93.10344696044922,0.11203953996300697,0.016212807968258858,0.09582673199474812
14,48.27585983276367,89.6551742553711,0.10670490190386772,0.0100775386672467,0.0966273620724678
15,51.72413635253906,89.6551742553711,0.10321366041898727,0.01420079410308972,0.0890128668397665
