Epoch,Top-1 Accuracy,Top-5 Accuracy,Total Loss,Supervised Loss,Unsupervised Loss
1,24.137929916381836,41.379310607910156,3.8113834857940674,3.8113834857940674,0.0
2,44.82758712768555,89.6551742553711,1.7545352578163147,1.7545352578163147,0.0
3,65.51724243164062,96.55171966552734,0.5082689523696899,0.5028532966971397,0.0054156620462890714
4,58.62068939208985,93.10344696044922,0.170920979231596,0.14554717019200325,0.025373809738084674
5,68.96551513671875,100.0,0.14663633331656456,0.05961702577769756,0.0870193112641573
6,72.4137954711914,96.55171966552734,0.1431173663586378,0.029834232293069363,0.11328313313424587
7,58.62068939208985,93.10344696044922,0.09319512266665697,0.019230429083108902,0.07396469358354807
8,51.72413635253906,89.6551742553711,0.13027796521782875,0.030293593415990472,0.0999843729659915
9,65.51724243164062,96.55171966552734,0.16871677711606026,0.020883683813735843,0.1478330884128809
10,75.86206817626953,93.10344696044922,0.10011131316423416,0.023986076470464468,0.0761252362281084
11,62.068965911865234,96.55171966552734,0.10807517170906067,0.011476483661681414,0.09659868851304054
12,68.96551513671875,89.6551742553711,0.12865774147212505,0.009192851255647838,0.11946488730609417
13,55.17241287231445,96.55171966552734,0.14424305222928524,0.011810184456408024,0.1324328649789095
14,62.068965911865234,96.55171966552734,0.1408031713217497,0.039396564941853285,0.10140660684555769
15,51.72413635253906,96.55171966552734,0.1431111078709364,0.020964922150596976,0.12214618362486362
16,51.72413635253906,93.10344696044922,0.12418872490525246,0.012862284202128649,0.1113264411687851
17,48.27585983276367,93.10344696044922,0.1535259410738945,0.012485187035053968,0.1410407554358244
18,62.068965911865234,93.10344696044922,0.09836999699473381,0.01566195720806718,0.08270804025232792
19,65.51724243164062,96.55171966552734,0.09194186516106129,0.006597585394047201,0.08534427732229233
20,51.72413635253906,82.75862121582031,0.13534370623528957,0.015982816694304347,0.11936088651418686
21,58.62068939208985,96.55171966552734,0.11449041869491339,0.01053159567527473,0.10395882371813059
22,58.62068939208985,96.55171966552734,0.11141668073832989,0.009241692954674363,0.10217498801648617
23,58.62068939208985,89.6551742553711,0.09984633792191744,0.011290241149254143,0.08855609595775604
24,55.17241287231445,89.6551742553711,0.12632381170988083,0.007500257750507444,0.11882355436682701
25,48.27585983276367,89.6551742553711,0.14084723964333534,0.00663739675655961,0.13420984521508217
26,44.82758712768555,93.10344696044922,0.11474744789302349,0.00851039495319128,0.10623705200850964
27,41.379310607910156,89.6551742553711,0.10702076926827431,0.012609916448127478,0.09441085439175367
28,48.27585983276367,93.10344696044922,0.10766571946442127,0.016138674807734787,0.0915270447731018
29,44.82758712768555,89.6551742553711,0.12490737810730934,0.0171072946395725,0.1078000832349062
30,41.379310607910156,86.20689392089844,0.15440518036484718,0.007589583517983556,0.1468155961483717
