Epoch,Top-1 Accuracy,Top-5 Accuracy,Total Loss,Supervised Loss,Unsupervised Loss
1,0.0,27.586206436157227,3.8374370336532593,3.8374370336532593,0.0
2,24.137929916381836,58.62068939208985,1.6238714456558228,1.6238714456558228,0.0
3,27.586206436157227,79.31034088134766,0.4606272578239441,0.43770725280046463,0.022920007584616542
4,34.482757568359375,79.31034088134766,0.17716146633028984,0.14126663468778133,0.035894835367798805
5,37.931034088134766,82.75862121582031,0.11732280440628529,0.061710961163043976,0.05561184650287032
6,41.379310607910156,89.6551742553711,0.1427652519196272,0.03441186109557748,0.10835338942706585
7,34.482757568359375,82.75862121582031,0.14959907718002796,0.048485157545655966,0.10111391544342041
8,34.482757568359375,79.31034088134766,0.16036370396614075,0.0409500899259001,0.11941361427307129
9,34.482757568359375,72.4137954711914,0.15408775210380554,0.018396816914901137,0.1356909368187189
10,31.034482955932617,72.4137954711914,0.16517440415918827,0.05693090450949967,0.1082434980198741
11,37.931034088134766,72.4137954711914,0.1333975102752447,0.012924580834805965,0.12047293037176132
12,34.482757568359375,65.51724243164062,0.12030170299112797,0.018118405365385115,0.10218329727649689
13,34.482757568359375,62.068965911865234,0.11527576111257076,0.012052856502123177,0.10322290472686291
14,31.034482955932617,58.62068939208985,0.09804693795740604,0.02272804663516581,0.0753188906237483
15,31.034482955932617,65.51724243164062,0.11775156855583191,0.012808049097657204,0.10494351852685213
