Epoch,Top-1 Accuracy,Top-5 Accuracy,Total Loss,Supervised Loss,Unsupervised Loss,Test Top-1 Accuracy,Test Top-5 Accuracy
1,30.508474705582955,77.11864445573192,2.586668841044108,2.570694184303284,0.015974666985372702,4.469882801853366,21.28645407467975
2,37.28813559322034,77.11864393848484,1.101506241162618,0.9122600873311361,0.1892461578051249,4.469882801853366,21.28645407467975
3,13.559322017734333,52.54237268738827,1.4660600185394288,1.2617218573888143,0.20433816959460577,4.469882801853366,21.28645407467975
4,16.10169497991012,46.610169685493084,1.9955066363016765,1.7652906854947408,0.2302159498135249,4.469882801853366,21.28645407467975
5,17.796610040179754,53.38983076709812,2.4646888971328735,2.242809518178304,0.2218793864051501,4.469882801853366,21.28645407467975
6,24.57627121876862,61.8644068443169,1.5232004006703694,1.3523025314013164,0.17089785039424896,4.469882801853366,21.28645407467975
7,28.81355919272213,63.55932229252184,1.3203221321105958,1.058429511388143,0.2618926117817561,4.469882801853366,21.28645407467975
8,34.74576264720852,76.2711863113662,1.0886168479919434,0.8504271566867828,0.23818968137105306,4.469882801853366,21.28645407467975
9,35.593220274327166,75.42372868424755,0.7968767603238424,0.5248818000157675,0.27199495732784273,4.469882801853366,21.28645407467975
10,44.06779654551361,77.11864393848484,0.708230318625768,0.45226253469785055,0.25596778094768524,4.469882801853366,21.28645407467975
11,41.52542366415767,77.11864445573192,0.6644703090190888,0.36868632038434346,0.29578398366769154,4.469882801853366,21.28645407467975
12,37.28813552856445,74.5762710571289,0.5685062805811564,0.26505992785096166,0.3034463534752528,4.469882801853366,21.28645407467975
13,41.525423922781215,77.96610156560348,0.5249220907688141,0.2306916688879331,0.2942304323116938,4.469882801853366,21.28645407467975
14,35.59322008035951,77.96610117766816,0.5510666092236837,0.29160428841908775,0.25946231881777443,4.469882801853366,21.28645407467975
15,44.91525449591168,76.27118682861328,0.37945029536883035,0.16003805274764696,0.2194122403860092,4.469882801853366,21.28645407467975
16,42.372881614555745,77.96610091904462,0.4168446183204651,0.12611357681453228,0.29073104163010915,4.469882801853366,21.28645407467975
17,41.52542347019001,80.5084749642065,0.31628134349981946,0.11026930858691533,0.20601203714807828,4.469882801853366,21.28645407467975
18,52.54237288135593,84.74576193599377,0.30981482068697613,0.07420438565313817,0.23561043391625086,4.469882801853366,21.28645407467975
19,47.45762731261173,83.89830547268107,0.26414063076178235,0.04932542443275452,0.21481520583232244,4.469882801853366,21.28645407467975
20,53.389830314506916,83.05084668175648,0.2254596789677938,0.035902056656777856,0.1895576218763987,4.469882801853366,21.28645407467975
