train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.59953410729118, 3.3870030900706416, 2.95418781042099, 2.5882600779118747, 2.2724476949028345, 1.994757969742236]","[0.03838315233588219, 0.2163722813129425, 0.59714674949646, 0.77955162525177, 0.8522418737411499, 0.882472813129425]","[3.5961186056551724, 3.1556562962739365, 2.7826264941174053, 2.46496523981509, 2.199162535045458, 1.9536057347836702]","[0.028532609343528748, 0.43478262424468994, 0.7146739363670349, 0.813858687877655, 0.8478261232376099, 0.8614130616188049]",186.19570875167847,0.8614130616188049,
"[1.879447930532953, 0.6868447433023349, 0.24489298794904482, 0.1624425879639128, 0.11109470084066624, 0.06905230481946922]","[0.91847825050354, 0.895380437374115, 0.9398777484893799, 0.959578812122345, 0.9762228727340698, 0.9867527484893799]","[1.9536057347836702, 0.31543762657953345, 0.2557095208245775, 0.21907148218673209, 0.1858830578301264, 0.21249211887302605]","[0.8614130616188049, 0.914402186870575, 0.9239130616188049, 0.92798912525177, 0.9375, 0.938858687877655]",205.85235166549683,0.938858687877655,
"[0.031094960483681898, 0.05440644063460438, 0.036135788936086974, 0.04048625810031334, 0.03798129276939384, 0.03576630190946162]","[0.9942255616188049, 0.990828812122345, 0.9949049353599548, 0.9932065606117249, 0.9949049353599548, 0.99388587474823]","[0.21249211887302605, 0.1871424263910107, 0.1670468714007217, 0.17187810875475407, 0.16675081679030604, 0.17078980090825455]","[0.938858687877655, 0.9429348111152649, 0.9524456858634949, 0.945652186870575, 0.948369562625885, 0.9551630616188049]",223.04957389831543,0.9551630616188049,
"[0.009096086470653181, 0.027616107826242627, 0.024824795697856207, 0.02526829398804061, 0.022029844062078908, 0.02246322930770238]","[1.0, 0.9959239363670349, 0.9979619979858398, 0.9972826242446899, 0.9989809989929199, 0.9996603727340698]","[0.17078980090825455, 0.17963277414927017, 0.16908569318120895, 0.17729379026138264, 0.1735451270866653, 0.17406410221820293]","[0.9551630616188049, 0.94972825050354, 0.94972825050354, 0.9429348111152649, 0.94972825050354, 0.94701087474823]",232.88633370399475,0.94972825050354,91.9051512673753
