train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.616181860799375, 3.37649093762688, 2.946878811587458, 2.586457838182864, 2.263215456319892, 1.9910310156967328, 1.7516980987528097, 1.5592768231163854, 1.378241645253223, 1.2406333244365195, 1.1058133004800133]","[0.03396739065647125, 0.23539403080940247, 0.6494565606117249, 0.8009511232376099, 0.8566576242446899, 0.88451087474823, 0.898097813129425, 0.91066575050354, 0.915421187877655, 0.9194973111152649, 0.9228940606117249]","[3.6192815614783247, 3.165125556614088, 2.802829348522684, 2.479506710301275, 2.203105895415596, 1.9542393788047459, 1.7308276839878247, 1.5539736644081448, 1.3962599194568137, 1.2709395211675893, 1.1667954662571782]","[0.028532609343528748, 0.47826087474823, 0.7228261232376099, 0.7989130616188049, 0.8505434989929199, 0.866847813129425, 0.8695652484893799, 0.8804348111152649, 0.8777174353599548, 0.88451087474823, 0.885869562625885]",334.90045499801636,0.885869562625885,
"[1.0447255211031956, 0.36362710206404975, 0.1616987206608705, 0.0946660411098729, 0.06539941417134326, 0.053656320482411465, 0.03912758342314349, 0.034429879664220724, 0.028868110407569002, 0.02456262273936654, 0.025054089309971616]","[0.9385190606117249, 0.926630437374115, 0.9619565606117249, 0.97826087474823, 0.984375, 0.98879075050354, 0.9932065606117249, 0.9921875, 0.99388587474823, 0.9949049353599548, 0.9945652484893799]","[1.1667954662571782, 0.26528477442005405, 0.20747409356029137, 0.19724826077404228, 0.18137399204399274, 0.1795470256196416, 0.1978090503455504, 0.19683419479786055, 0.18963511895550333, 0.1770102026183968, 0.23369888754804496]","[0.885869562625885, 0.92798912525177, 0.9293478727340698, 0.9375, 0.9442934989929199, 0.9402174353599548, 0.9375, 0.938858687877655, 0.9442934989929199, 0.94972825050354, 0.9239130616188049]",357.96635818481445,0.94972825050354,
"[0.0054115759646621246, 0.021823221889739532, 0.014938186287232067, 0.013181249562995103, 0.009912044971513198, 0.020324108190834522, 0.00894792077799692, 0.007964770172965591, 0.01259089974210719, 0.014107498203647201, 0.010627031087136382]","[0.9996603727340698, 0.9945652484893799, 0.9972826242446899, 0.9976223111152649, 0.9993206858634949, 0.9959239363670349, 0.9993206858634949, 0.9996603727340698, 0.9979619979858398, 0.996942937374115, 0.996942937374115]","[0.1770102026183968, 0.16999060531025348, 0.16724550914343284, 0.1705699228155224, 0.18042678738255863, 0.1826140673669136, 0.18407770815183935, 0.17605169441389001, 0.19444542157504222, 0.17884310359216254, 0.1975604638295329]","[0.94972825050354, 0.94701087474823, 0.9429348111152649, 0.9429348111152649, 0.9402174353599548, 0.9415761232376099, 0.9402174353599548, 0.938858687877655, 0.9429348111152649, 0.945652186870575, 0.945652186870575]",394.1144018173218,0.94701087474823,
"[0.004962508826081276, 0.013821699469269293, 0.009997084019351345, 0.011617762633882787, 0.01283248491286624, 0.011328770725927114, 0.013677652301418635, 0.012505040428115299, 0.010347378073239943, 0.010877521670646156, 0.008905458636075744]","[0.9993206858634949, 0.9979619979858398, 0.9993206858634949, 0.998641312122345, 0.9979619979858398, 0.9993206858634949, 0.9972826242446899, 0.9979619979858398, 0.9993206858634949, 0.9979619979858398, 0.9993206858634949]","[0.16999060531025348, 0.16547822932024364, 0.1566446539338516, 0.16144395935470643, 0.17829552450743708, 0.15629648457726705, 0.15737090968405423, 0.15505086691321238, 0.15916911257511895, 0.15578024328240883, 0.1558376640567313]","[0.94701087474823, 0.9524456858634949, 0.9524456858634949, 0.94972825050354, 0.948369562625885, 0.9524456858634949, 0.9551630616188049, 0.9524456858634949, 0.95652174949646, 0.957880437374115, 0.9551630616188049]",419.39217233657837,0.957880437374115,91.95966203325156
