train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.620284860548766, 3.3959778858267744, 2.9651013612747192, 2.5958909236866496, 2.2789108390393467, 2.002452190803445, 1.7657297098118325, 1.5648602026960123, 1.389182800832002, 1.2504935627398284, 1.1184033939371938]","[0.03192934766411781, 0.21773098409175873, 0.6015625, 0.768682062625885, 0.842391312122345, 0.87160325050354, 0.8926630616188049, 0.8991168737411499, 0.91576087474823, 0.9147418737411499, 0.92357337474823]","[3.6231415375419287, 3.1803572696188223, 2.816585053568301, 2.491338657296222, 2.2211620807647705, 1.9647487246471902, 1.769799398339313, 1.5814758176388948, 1.4089191115420798, 1.2855310440063477, 1.1695250065430352]","[0.03125, 0.448369562625885, 0.720108687877655, 0.7948369979858398, 0.842391312122345, 0.8600543737411499, 0.873641312122345, 0.876358687877655, 0.876358687877655, 0.885869562625885, 0.88451087474823]",329.33531975746155,0.885869562625885,
"[1.1696677998356197, 0.39927495716382627, 0.1786017662886044, 0.10978452383500079, 0.07674931542461981, 0.060710716182770935, 0.05059504607672115, 0.03192533264645254, 0.028925023740157485, 0.02820451395414041, 0.0338363903928953]","[0.932744562625885, 0.9194973111152649, 0.9541440606117249, 0.97316575050354, 0.9823369979858398, 0.9833559989929199, 0.9898098111152649, 0.9932065606117249, 0.9942255616188049, 0.99388587474823, 0.9911684989929199]","[1.2855310440063477, 0.24946656402038492, 0.22238709145913954, 0.1807778246052887, 0.2093227313750464, 0.18769352753525195, 0.17166989175197872, 0.18483559969488694, 0.2152840458261578, 0.17366195219042507, 0.18346526894880377]","[0.885869562625885, 0.91847825050354, 0.9307065606117249, 0.9429348111152649, 0.9293478727340698, 0.9442934989929199, 0.9347826242446899, 0.9375, 0.936141312122345, 0.9524456858634949, 0.945652186870575]",360.7708430290222,0.9524456858634949,
"[0.008006760621514253, 0.023426550549313262, 0.014540174927906659, 0.01395753043723981, 0.016086035957256252, 0.0199512050476978, 0.02719477131335146, 0.013055533970422719, 0.015453856967328846, 0.015224899386774505, 0.01713294142847071]","[0.998641312122345, 0.9959239363670349, 0.9976223111152649, 0.99830162525177, 0.996942937374115, 0.9949049353599548, 0.9949049353599548, 0.99830162525177, 0.9962636232376099, 0.9976223111152649, 0.99660325050354]","[0.17366195219042507, 0.15961864473217208, 0.16422049191011034, 0.16343945868151344, 0.1669768801809329, 0.1709227146094908, 0.16768902054299478, 0.17447018833911937, 0.17918840611515485, 0.17027976910543183, 0.18729037483749184]","[0.9524456858634949, 0.9551630616188049, 0.9510869979858398, 0.94701087474823, 0.9510869979858398, 0.94972825050354, 0.9538043737411499, 0.945652186870575, 0.94701087474823, 0.94701087474823, 0.936141312122345]",389.17580699920654,0.9551630616188049,
"[0.0062139750389969385, 0.019160152977312227, 0.014610185609300337, 0.016440238343025354, 0.014425382572327457, 0.0136418122312297, 0.014552634687709582, 0.011194448032335418, 0.01098132065026616, 0.011926743366411361, 0.010151191067922375]","[0.9989809989929199, 0.996942937374115, 0.9979619979858398, 0.99660325050354, 0.998641312122345, 0.9976223111152649, 0.99830162525177, 0.9996603727340698, 0.9993206858634949, 0.9989809989929199, 0.9989809989929199]","[0.15961864473217208, 0.16143735162103953, 0.15003172624046388, 0.1532606028587274, 0.1463721292498319, 0.14897679416057857, 0.15000940907908522, 0.14688328143371188, 0.14705813923121794, 0.1470253818627933, 0.1502862297727362]","[0.9551630616188049, 0.94701087474823, 0.9551630616188049, 0.9538043737411499, 0.9551630616188049, 0.9605978727340698, 0.95652174949646, 0.95652174949646, 0.9524456858634949, 0.9605978727340698, 0.9538043737411499]",411.3431339263916,0.9605978727340698,92.15044971381847
