train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.6318709202434705, 3.4116406181584233, 2.983166946017224, 2.6140556413194407, 2.309218595857206, 2.0372848743977756, 1.8047847916250643, 1.620031203912652, 1.4482834261396658, 1.3124331598696501, 1.1866778938666633]","[0.0234375, 0.2007472813129425, 0.588994562625885, 0.77683424949646, 0.8410326242446899, 0.8739809989929199, 0.890285313129425, 0.907608687877655, 0.90625, 0.9194973111152649, 0.92357337474823]","[3.6375892784284507, 3.1976379000622295, 2.8255509189937427, 2.506600234819495, 2.2367044013479482, 1.9925249400346174, 1.7933946018633635, 1.6270241063574087, 1.475304277046867, 1.3465079483778581, 1.2524759769439697]","[0.014945652335882187, 0.4320652186870575, 0.7119565606117249, 0.8070652484893799, 0.8410326242446899, 0.8586956858634949, 0.86548912525177, 0.875, 0.8777174353599548, 0.8926630616188049, 0.88722825050354]",332.8089346885681,0.8926630616188049,
"[1.2443969353385593, 0.4395963050748991, 0.19953751507336678, 0.13755440193673837, 0.10982823871966937, 0.09463036544216068, 0.08756114829979512, 0.08598514831543941, 0.08663060892697262, 0.10205336541706778, 0.0994185877194547]","[0.936141312122345, 0.9150815606117249, 0.9521059989929199, 0.9650136232376099, 0.97044837474823, 0.9738451242446899, 0.97486412525177, 0.977921187877655, 0.976902186870575, 0.9684103727340698, 0.9677309989929199]","[1.3465079483778581, 0.27325022155823914, 0.23209218583677127, 0.21423915935599286, 0.23452842964426332, 0.2282667780375999, 0.2504961458237275, 0.24762049641298212, 0.23750116449335348, 0.265775705161302, 0.21176226793423944]","[0.8926630616188049, 0.9211956858634949, 0.9307065606117249, 0.9320652484893799, 0.9239130616188049, 0.92527174949646, 0.91576087474823, 0.92798912525177, 0.926630437374115, 0.9225543737411499, 0.9320652484893799]",356.60397601127625,0.9320652484893799,
"[0.060230904542233635, 0.08947330664681352, 0.06036596805991038, 0.058929371100890894, 0.0461712037820531, 0.04726207029560338, 0.05894848547430466, 0.058190461916282125, 0.05767118424663077, 0.05841481278690955, 0.04746951982783883]","[0.9911684989929199, 0.9802989363670349, 0.9918478727340698, 0.99388587474823, 0.9942255616188049, 0.9945652484893799, 0.9918478727340698, 0.990828812122345, 0.9911684989929199, 0.9921875, 0.99388587474823]","[0.21423915935599286, 0.18814167688074318, 0.16982311512465062, 0.16434636631089708, 0.17317105238528355, 0.16416169476249945, 0.1684541870718417, 0.1891886792753054, 0.21601501560729483, 0.18575043976306915, 0.1881745047867298]","[0.9320652484893799, 0.9375, 0.94972825050354, 0.948369562625885, 0.9402174353599548, 0.948369562625885, 0.9442934989929199, 0.94972825050354, 0.92527174949646, 0.938858687877655, 0.9375]",402.36260867118835,0.94972825050354,
"[0.025227981619536877, 0.05673396309999668, 0.05160293744310089, 0.05223461872209673, 0.043572119700357965, 0.043830365610673376, 0.04587122641058396, 0.04463494254235664, 0.04317596192350206, 0.044691299230022276, 0.048315590541080936]","[0.9989809989929199, 0.99048912525177, 0.9932065606117249, 0.9911684989929199, 0.9959239363670349, 0.99660325050354, 0.9962636232376099, 0.9962636232376099, 0.99660325050354, 0.9945652484893799, 0.993546187877655]","[0.16982311512465062, 0.16378669707995394, 0.1634899228811264, 0.1631678319333688, 0.15749782404821852, 0.17224617998885072, 0.17010154785669368, 0.16747520086557968, 0.16403250623008478, 0.16223394854561143, 0.1686226791985657]","[0.94972825050354, 0.9538043737411499, 0.95652174949646, 0.9524456858634949, 0.957880437374115, 0.948369562625885, 0.9551630616188049, 0.9538043737411499, 0.95652174949646, 0.9538043737411499, 0.948369562625885]",422.6605944633484,0.957880437374115,92.28672662850913
