train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.628030269042305, 3.391946149908978, 2.9600566262784214, 2.5967889868694805, 2.2928534927575486, 2.027007202739301]","[0.0261548925191164, 0.213994562625885, 0.6103940606117249, 0.7805706858634949, 0.84205162525177, 0.8631114363670349]","[3.6256041630454687, 3.1761256093564243, 2.8074228141618813, 2.503485700358515, 2.2222869292549463, 1.9912627935409546]","[0.014945652335882187, 0.44701087474823, 0.6875, 0.7663043737411499, 0.83423912525177, 0.85597825050354]",180.69733786582947,0.85597825050354,
"[1.909788984319438, 0.7317367775932603, 0.26888422465518763, 0.16923131862574298, 0.13352192662980245, 0.13853889266433922]","[0.906589686870575, 0.8848505616188049, 0.94191575050354, 0.9633152484893799, 0.9633152484893799, 0.9650136232376099]","[1.9912627935409546, 0.3309545964002609, 0.2437866712393968, 0.23899425728165585, 0.27199477329850197, 0.2570990014659322]","[0.85597825050354, 0.91847825050354, 0.9334239363670349, 0.9239130616188049, 0.91576087474823, 0.9211956858634949]",196.5421280860901,0.9334239363670349,
"[0.11278174064405587, 0.16257293684327084, 0.13172767100774724, 0.1119504958877097, 0.11386556652091119, 0.10112842945786922]","[0.9850543737411499, 0.9660326242446899, 0.9741848111152649, 0.9833559989929199, 0.9819973111152649, 0.9881114363670349]","[0.2437866712393968, 0.20833168308372083, 0.19651931945396506, 0.19362733059603235, 0.2096487380888151, 0.19620729869474535]","[0.9334239363670349, 0.936141312122345, 0.9510869979858398, 0.94701087474823, 0.9375, 0.9510869979858398]",208.46874713897705,0.9510869979858398,
"[0.06544900313019753, 0.11114540667799504, 0.10380935907849799, 0.11098524110148782, 0.09972157600619223, 0.09215039650545172]","[0.9932065606117249, 0.98267662525177, 0.9867527484893799, 0.9806386232376099, 0.9864130616188049, 0.9911684989929199]","[0.19651931945396506, 0.19417252245804537, 0.19523392504324083, 0.20124920036481775, 0.19743471236332602, 0.20056800949184792]","[0.9510869979858398, 0.9429348111152649, 0.9402174353599548, 0.9375, 0.9415761232376099, 0.9402174353599548]",220.0169403553009,0.9429348111152649,92.28672662850913
