train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,best_val_acc,final_accuracy
"[3.6368414396825046, 3.4059040002200915, 2.9746868558551953, 2.6043409575586733, 2.2809638847475466, 2.0070648076741593]","[0.018682066351175308, 0.19938859343528748, 0.62058424949646, 0.7713994979858398, 0.8569973111152649, 0.8773777484893799]","[3.6361714860667353, 3.1853692116944687, 2.817157724629278, 2.485430686370186, 2.2176166513691777, 1.9455774607865706]","[0.01358695700764656, 0.43614131212234497, 0.7024456858634949, 0.779891312122345, 0.8260869979858398, 0.8505434989929199]",192.2512710094452,0.8505434989929199,
"[1.8664955561575682, 0.6619059404601222, 0.23031069994296716, 0.14949511246674735, 0.09999130629812894, 0.06288962335447254]","[0.911005437374115, 0.90285325050354, 0.945652186870575, 0.961277186870575, 0.9728261232376099, 0.98879075050354]","[1.9455774607865706, 0.31593807948672253, 0.2302104859896328, 0.19442712353623431, 0.1935370700514835, 0.1984765144146007]","[0.8505434989929199, 0.9239130616188049, 0.9347826242446899, 0.9415761232376099, 0.9320652484893799, 0.945652186870575]",210.34305429458618,0.945652186870575,
"[0.019819425768218935, 0.05060025058565256, 0.043026066607917135, 0.03749636333921681, 0.03221396071350445, 0.034961400887645454]","[0.9979619979858398, 0.9911684989929199, 0.9945652484893799, 0.9942255616188049, 0.9962636232376099, 0.9942255616188049]","[0.1984765144146007, 0.1856186583476222, 0.1815464662630921, 0.17778171939046486, 0.1908616287552792, 0.17991326324155796]","[0.945652186870575, 0.948369562625885, 0.9402174353599548, 0.948369562625885, 0.9442934989929199, 0.945652186870575]",222.43521881103516,0.948369562625885,
"[0.017566250419527616, 0.044767447038675134, 0.04191274674730781, 0.040375736724261355, 0.03899664784093266, 0.03321740562703623]","[0.99830162525177, 0.992527186870575, 0.9942255616188049, 0.9949049353599548, 0.9959239363670349, 0.9972826242446899]","[0.1856186583476222, 0.1909861546009779, 0.18759509548544884, 0.18607560869144357, 0.18511870390047197, 0.18764969601255396]","[0.948369562625885, 0.9415761232376099, 0.948369562625885, 0.94701087474823, 0.94701087474823, 0.9510869979858398]",224.96976590156555,0.9510869979858398,92.01417279912783
