train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,final_accuracy
"[3.910934995050016, 3.4959576596384463, 2.9741282851799675, 2.5641644830289096, 2.2275070262991865, 1.938023672155712, 1.7262016716210737, 1.5388635215551958, 1.3939441701640254, 1.2741590764211572, 1.1562297862509023, 1.0917491206656331, 1.0107123981351438, 0.9463597672141116, 0.8861715897269871, 0.8630496464345766, 0.7989623203225757, 0.780146022853644, 0.7371118548123733, 0.7104028013089428, 0.6899223211018936, 0.6446369960904121, 0.6385782020895377, 0.6237771760510362, 0.5978439767723498, 0.5896031892170077]","[0.015285326167941093, 0.07167119532823563, 0.29857337474823, 0.49796196818351746, 0.62669837474823, 0.72486412525177, 0.7618885636329651, 0.7927989363670349, 0.8165760636329651, 0.823369562625885, 0.8508831262588501, 0.848505437374115, 0.8617526888847351, 0.8665081262588501, 0.8770380616188049, 0.8777173757553101, 0.8838315010070801, 0.8777173757553101, 0.88722825050354, 0.88892662525177, 0.890964686870575, 0.8984375, 0.8933423757553101, 0.8963994383811951, 0.895380437374115, 0.89402174949646]","[3.892773659332939, 3.1937124418175737, 2.725646215936412, 2.3474661889283555, 2.0444988997086235, 1.8030463871748552, 1.6037864944209224, 1.4488289304401563, 1.3120490675387175, 1.2045384049415588, 1.1144802907238835, 1.041333354037741, 0.9844145023304484, 0.9431684172671774, 0.8745461365450984, 0.8414555502974469, 0.8002384771471438, 0.7848459741343623, 0.7484151461850042, 0.7335449858852054, 0.7083797286386075, 0.6930568723574929, 0.6619676481122556, 0.6467873298603556, 0.629194332205731, 0.6259092921796052]","[0.023097826167941093, 0.20108695328235626, 0.43478259444236755, 0.57201087474823, 0.67527174949646, 0.7228260636329651, 0.7771739363670349, 0.7880434989929199, 0.8097826242446899, 0.8125, 0.8288043737411499, 0.83423912525177, 0.8369565010070801, 0.8288043737411499, 0.8505434989929199, 0.854619562625885, 0.85326087474823, 0.85326087474823, 0.854619562625885, 0.85597825050354, 0.866847813129425, 0.86548912525177, 0.8695651888847351, 0.8790760636329651, 0.8777173757553101, 0.8790760636329651]",2649.5178561210632,
"[0.5310698757353036, 0.47121112178201263, 0.24831643571024356, 0.16685727060489033, 0.11861421868367039, 0.09379330155966074, 0.08822054713559539, 0.08374440898794842, 0.08221889167781109, 0.07519364419757672, 0.10047158351896898, 0.08298076142597458, 0.08501064261097623, 0.0823775639190622, 0.06962635634345529, 0.06940724833301552, 0.06503329238773364, 0.08066944374054995, 0.092763710382354, 0.08361803803026029, 0.0571865267019071, 0.07435820349897056, 0.07773532410678656, 0.0697926320641747, 0.06276311065353778, 0.052502513610069516]","[0.918817937374115, 0.890625, 0.9507473111152649, 0.9711276888847351, 0.984035313129425, 0.987432062625885, 0.9853940010070801, 0.9853940010070801, 0.9833559989929199, 0.985733687877655, 0.9786005616188049, 0.984035313129425, 0.9806385636329651, 0.981317937374115, 0.9864130616188049, 0.9864130616188049, 0.98607337474823, 0.98097825050354, 0.9758831262588501, 0.9833559989929199, 0.9894701242446899, 0.9833559989929199, 0.984375, 0.98607337474823, 0.9881114363670349, 0.9901494383811951]","[0.6467873298603556, 0.39755061527957086, 0.35372383827748505, 0.32032634155905765, 0.33476559591034183, 0.33891853107058484, 0.37648281228283176, 0.40881494270718616, 0.38971631617649743, 0.39346719500811206, 0.4323533352302468, 0.48320452383031015, 0.4753549445582473, 0.47815384553826373, 0.44804632793302124, 0.42048430507597717, 0.47267874945764954, 0.5261428557012392, 0.46573953103760013, 0.4708733150492544, 0.40221741115269455, 0.4615919168876565, 0.4405004814591097, 0.504022672124531, 0.4255596697330475, 0.4568879296598227]","[0.8790760636329651, 0.8885869383811951, 0.9035326242446899, 0.907608687877655, 0.89673912525177, 0.895380437374115, 0.883152186870575, 0.873641312122345, 0.885869562625885, 0.875, 0.8709239363670349, 0.8586956262588501, 0.8586956262588501, 0.845108687877655, 0.8573369383811951, 0.8695651888847351, 0.851902186870575, 0.8383151888847351, 0.8491848111152649, 0.866847813129425, 0.8804348111152649, 0.8722826242446899, 0.8695651888847351, 0.8600543737411499, 0.873641312122345, 0.86548912525177]",3574.2299678325653,
"[0.07773066781785178, 0.10820825624725093, 0.09019440112878448, 0.07287483318182437, 0.07779120485824735, 0.06629982663561469, 0.06475071297229631, 0.06076643539025732, 0.05368478671121209, 0.055067799175563065, 0.05420600989347567, 0.0560102567643575, 0.06280934324730998, 0.06671343790367246, 0.05817085883134733, 0.0634189960749253, 0.06272751906805712, 0.053231230025868055, 0.050478376873323454, 0.04802897592763538, 0.048753156488680324, 0.04811878516541227, 0.0519371240845193, 0.0586795880175803, 0.05601061923105432, 0.052888648523746626]","[0.9928668737411499, 0.9881114363670349, 0.9921875, 0.99660325050354, 0.993546187877655, 0.9976223111152649, 0.9959239363670349, 0.9972826242446899, 0.998641312122345, 0.99660325050354, 0.9993206262588501, 0.9962635636329651, 0.99558424949646, 0.9945651888847351, 0.9962635636329651, 0.9949048757553101, 0.995244562625885, 0.9976223111152649, 0.9962635636329651, 0.99660325050354, 0.9976223111152649, 0.9976223111152649, 0.998641312122345, 0.99660325050354, 0.9959239363670349, 0.9962635636329651]","[0.32032634155905765, 0.30399383928464807, 0.2878239420445069, 0.28274612258309906, 0.30587581059207086, 0.28991395494212274, 0.30184146211199137, 0.31446862123582675, 0.2938021074818528, 0.30339281520117883, 0.3031491173998169, 0.3298365966133449, 0.3488264718781347, 0.34191264374100644, 0.35618450589801953, 0.34610502940157184, 0.3624121579139129, 0.3395433940965196, 0.35054854983868805, 0.37857052781011746, 0.36314210975947586, 0.3568792871159056, 0.38185900708903436, 0.5618690135686294, 0.3357065232551616, 0.36670023721197376]","[0.907608687877655, 0.914402186870575, 0.91576087474823, 0.9211956262588501, 0.9089673757553101, 0.91576087474823, 0.917119562625885, 0.9116848111152649, 0.9198369383811951, 0.9103260636329651, 0.9130434989929199, 0.895380437374115, 0.904891312122345, 0.8994565010070801, 0.88722825050354, 0.9008151888847351, 0.9035326242446899, 0.898097813129425, 0.895380437374115, 0.883152186870575, 0.885869562625885, 0.8899456262588501, 0.8790760636329651, 0.8260869383811951, 0.9021739363670349, 0.8804348111152649]",3694.896104335785,
"[0.04059348498349604, 0.07114110575260027, 0.06709955416052886, 0.06230265958963529, 0.061780796649501375, 0.05828695578257675, 0.05819203186294307, 0.055811084523473095, 0.05607468586253083, 0.05432181465237037, 0.05261675126688636, 0.05067554083855256, 0.050842362698977406, 0.050009435245200344, 0.050250311645314745, 0.05215924711007139, 0.05459723534548412, 0.05259331973755489, 0.052674513856839876, 0.050973807562790484, 0.04946772248038779, 0.049537556326907616, 0.051164271269479526, 0.052400534405656486, 0.05814890300288149, 0.05313444072785585]","[0.9979619383811951, 0.9959239363670349, 0.9962635636329651, 0.9972826242446899, 0.9972826242446899, 0.998641312122345, 0.99660325050354, 0.998641312122345, 0.9989809989929199, 0.998641312122345, 0.99830162525177, 0.99830162525177, 0.9979619383811951, 0.9993206262588501, 0.99830162525177, 0.998641312122345, 0.9993206262588501, 0.998641312122345, 0.9979619383811951, 0.99830162525177, 0.9979619383811951, 0.9989809989929199, 0.998641312122345, 0.9979619383811951, 0.9976223111152649, 0.9979619383811951]","[0.28274612258309906, 0.28352405454801477, 0.2858646346823029, 0.2758080311443495, 0.2674844485262166, 0.2809667924176092, 0.2824024470603984, 0.28553919332182925, 0.28440483205992245, 0.28440849904132925, 0.28124880175227707, 0.29361942961164145, 0.3271840493316236, 0.2844660732409228, 0.29891555594361346, 0.30375035787406174, 0.3361914779828942, 0.29740236829156463, 0.32126644253730774, 0.3605893720751223, 0.365026049963806, 0.3317420080952022, 0.36656585854032764, 0.3718414510721746, 0.3213259525921034, 0.31709089000587876]","[0.9211956262588501, 0.917119562625885, 0.91576087474823, 0.9211956262588501, 0.91847825050354, 0.91847825050354, 0.914402186870575, 0.91576087474823, 0.9198369383811951, 0.91576087474823, 0.9239130616188049, 0.9103260636329651, 0.9089673757553101, 0.9116848111152649, 0.9008151888847351, 0.91576087474823, 0.90625, 0.914402186870575, 0.9008151888847351, 0.895380437374115, 0.89673912525177, 0.907608687877655, 0.895380437374115, 0.885869562625885, 0.90625, 0.898097813129425]",8032.050967216492,
"[0.028502833665065144, 0.049315221972115665, 0.050451172900426645, 0.048747038246010954, 0.046017033169450966, 0.04740869549467512, 0.048631537766398295, 0.05090465341978099, 0.04870930222956383, 0.048257805589262556, 0.04813205410280953, 0.048670720268526806, 0.044541447220937065, 0.05246931308394541, 0.049297430916972786, 0.04822302415319111, 0.04849664781890486, 0.050404103776521006, 0.050340679676636406, 0.04601975621493614, 0.05203850423593236, 0.047686422122237476, 0.0483960158434575, 0.046418139630037804, 0.05121945178784106, 0.04986412345391253]","[0.9993206262588501, 0.9989809989929199, 0.998641312122345, 0.998641312122345, 0.999660313129425, 0.999660313129425, 0.9989809989929199, 0.998641312122345, 0.998641312122345, 0.9989809989929199, 0.9993206262588501, 1.0, 0.999660313129425, 0.99830162525177, 0.999660313129425, 0.998641312122345, 1.0, 0.9993206262588501, 0.998641312122345, 0.999660313129425, 0.9989809989929199, 0.9993206262588501, 0.9993206262588501, 0.9993206262588501, 0.9993206262588501, 0.9993206262588501]","[0.28124880175227707, 0.279261303336724, 0.2904572030124457, 0.28178562742212543, 0.2946421325854633, 0.3020521865590759, 0.2962379737392716, 0.28990468771561334, 0.29760302959576895, 0.28380348468604294, 0.28297313367543014, 0.30681831584028574, 0.28680952994719794, 0.3116549979085508, 0.29011919219856674, 0.29486433481392654, 0.29865853974352713, 0.30482488579076267, 0.2894052931148073, 0.3008198517820109, 0.2993969249984492, 0.29045134912366455, 0.3017849151207053, 0.32933622566254245, 0.2960808892612872, 0.3383063881293587]","[0.9239130616188049, 0.9130434989929199, 0.9225543737411499, 0.91847825050354, 0.9130434989929199, 0.91576087474823, 0.907608687877655, 0.91576087474823, 0.8994565010070801, 0.914402186870575, 0.914402186870575, 0.9089673757553101, 0.9089673757553101, 0.90625, 0.9103260636329651, 0.9116848111152649, 0.9130434989929199, 0.90625, 0.907608687877655, 0.9130434989929199, 0.907608687877655, 0.9116848111152649, 0.904891312122345, 0.89673912525177, 0.9035326242446899, 0.8885869383811951]",5367.41965174675,
"[0.027863361305840637, 0.05128954395489848, 0.0485981327643537, 0.0482358708370315, 0.05124337384072335, 0.04943630319979528, 0.04851580204685097, 0.049795952807787966, 0.047767120595697474, 0.04715875637434099, 0.0466563175432384, 0.04757475887384752, 0.04848732831685439, 0.04967938321035193, 0.04921371309572588, 0.0501993060031015, 0.0505336609709522, 0.050541377504882606, 0.04684874816271274, 0.05002567510161063, 0.05023559444057553, 0.04954705112006353, 0.04665135616517585, 0.04773541681630456, 0.04966130913437709, 0.05287707708371074]","[0.999660313129425, 0.9989809989929199, 0.9989809989929199, 0.999660313129425, 0.9979619383811951, 0.999660313129425, 0.9993206262588501, 0.9989809989929199, 0.999660313129425, 0.999660313129425, 1.0, 0.9989809989929199, 0.9993206262588501, 0.998641312122345, 0.998641312122345, 0.9989809989929199, 0.9993206262588501, 0.9989809989929199, 0.999660313129425, 0.99830162525177, 0.9989809989929199, 0.9989809989929199, 0.9989809989929199, 0.999660313129425, 0.999660313129425, 0.999660313129425]","[0.2904572030124457, 0.27459299855906033, 0.2764145887416342, 0.2775696969550589, 0.27327102714258694, 0.273930916643661, 0.27256115137234976, 0.2694736145760702, 0.27237188880858215, 0.27336371722428693, 0.2716209311848101, 0.2751337976559349, 0.27484031021595, 0.27635761156030325, 0.27139921810316003, 0.27181478848923807, 0.27517039199238236, 0.2763877938623014, 0.2738543363369029, 0.2732423932655998, 0.2732225102574929, 0.27332017829884653, 0.27394165584574576, 0.27499933346458105, 0.27403444537649985, 0.27485476693381433]","[0.9225543737411499, 0.9211956262588501, 0.9225543737411499, 0.9211956262588501, 0.9239130616188049, 0.92527174949646, 0.92527174949646, 0.9307065010070801, 0.92527174949646, 0.9211956262588501, 0.9225543737411499, 0.9239130616188049, 0.926630437374115, 0.9198369383811951, 0.9225543737411499, 0.9211956262588501, 0.92527174949646, 0.9225543737411499, 0.92527174949646, 0.92527174949646, 0.9211956262588501, 0.9239130616188049, 0.9211956262588501, 0.91847825050354, 0.9211956262588501, 0.91576087474823]",4973.311985015869,
"[0.0260863757348093, 0.050842684308957796, 0.04760960625160648, 0.04877538177306238, 0.04876301745357721, 0.048011374497867146, 0.0475886953468232, 0.047705821632205145, 0.04918403516564032, 0.048999127972385155, 0.04781757868097528, 0.04615520036009991, 0.05141225882360469, 0.047463440376779305, 0.05012135764421976, 0.049472953982489264, 0.0474479755224741, 0.04971399874952824, 0.045189554296919836, 0.04805294653076841, 0.04740961940716142, 0.04723737961815103, 0.04857647578920359, 0.048909132085416626, 0.048834287136307226, 0.04982283243747509]","[0.999660313129425, 0.9993206262588501, 0.9989809989929199, 0.999660313129425, 0.9989809989929199, 1.0, 0.999660313129425, 0.9989809989929199, 0.9989809989929199, 0.9989809989929199, 0.9993206262588501, 0.9993206262588501, 0.998641312122345, 0.998641312122345, 0.9989809989929199, 0.9989809989929199, 0.999660313129425, 0.99830162525177, 0.9993206262588501, 0.9993206262588501, 0.999660313129425, 0.9993206262588501, 0.9993206262588501, 0.9993206262588501, 0.999660313129425, 0.9989809989929199]","[0.2694736145760702, 0.2738656482618788, 0.27120147256747534, 0.2756307951134184, 0.277303871901139, 0.2804533444021059, 0.2835509304119193, 0.27965993337009265, 0.2817548898899037, 0.27662340907946875, 0.27644556566424994, 0.2784690416377524, 0.27550222951432934, 0.27609832422888797, 0.29039224010446796, 0.2836966900073964, 0.2786507114120152, 0.2784986016543015, 0.28309210260277207, 0.2819353769654813, 0.2841066261348517, 0.2782995214928751, 0.2841280391034873, 0.2808222453231397, 0.27426021513731585, 0.27793836496446445]","[0.9307065010070801, 0.9198369383811951, 0.9239130616188049, 0.9198369383811951, 0.9225543737411499, 0.917119562625885, 0.9211956262588501, 0.91847825050354, 0.917119562625885, 0.9225543737411499, 0.9211956262588501, 0.9198369383811951, 0.914402186870575, 0.9211956262588501, 0.917119562625885, 0.9130434989929199, 0.91576087474823, 0.9198369383811951, 0.9211956262588501, 0.91847825050354, 0.917119562625885, 0.917119562625885, 0.9211956262588501, 0.9211956262588501, 0.9198369383811951, 0.9211956262588501]",4922.092030763626,88.79803761242846
