train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,final_accuracy
"[3.949365120867024, 3.5665814695150955, 3.0556325731070144, 2.6330049374829168, 2.2871156101641446, 1.996617975442306, 1.769081684558288, 1.5789284472880156, 1.42660263699034, 1.298163752840913, 1.1983884585940319, 1.099912497660388, 1.021727973352308, 0.9566034499717795, 0.9056371132964673, 0.8562058935994687, 0.8213146730609562, 0.777627002933751, 0.7408725690582524, 0.7145049798747768, 0.6849108636379242, 0.6659147664904594, 0.6318091264237529, 0.6132564058770305, 0.5962718362393586, 0.5905492768987365]","[0.022078804671764374, 0.057065218687057495, 0.24184782803058624, 0.45176631212234497, 0.59816575050354, 0.679347813129425, 0.7367527484893799, 0.765964686870575, 0.80298912525177, 0.81589674949646, 0.8196331858634949, 0.838994562625885, 0.84375, 0.8566576242446899, 0.8634511232376099, 0.8682065606117249, 0.866847813129425, 0.8760190606117249, 0.8804348111152649, 0.875, 0.883152186870575, 0.884171187877655, 0.8916440606117249, 0.8947011232376099, 0.8926630616188049, 0.8879076242446899]","[3.921296389206596, 3.248126320216967, 2.7812033114225967, 2.386979289676832, 2.066832967426466, 1.8191757202148438, 1.5898763563321985, 1.410674872605697, 1.2890027035837588, 1.1775206327438354, 1.0881990634876748, 1.0048040177511133, 0.9258188372072966, 0.8907674032708873, 0.8353216311205989, 0.7988146595332933, 0.7425332587698231, 0.7168521414632383, 0.6909325200578441, 0.6650925395281418, 0.6523906951365264, 0.6198043421558712, 0.5943497639635335, 0.6029537890268408, 0.5605472857537477, 0.5507510395153709]","[0.02445652149617672, 0.135869562625885, 0.354619562625885, 0.561141312122345, 0.6603261232376099, 0.717391312122345, 0.76902174949646, 0.7880434989929199, 0.7989130616188049, 0.8274456858634949, 0.8301630616188049, 0.8369565606117249, 0.854619562625885, 0.854619562625885, 0.8614130616188049, 0.8682065606117249, 0.8695652484893799, 0.875, 0.8790761232376099, 0.8817934989929199, 0.8777174353599548, 0.8817934989929199, 0.883152186870575, 0.876358687877655, 0.885869562625885, 0.8899456858634949]",1459.8707447052002,
"[0.49313725336738257, 0.4596514374665592, 0.2346216152705576, 0.15295579470694065, 0.10374546443800563, 0.08206110480039017, 0.059640179104779076, 0.04814845206134993, 0.03955009395418608, 0.032409896770411215, 0.026763409983528698, 0.025478927064282092, 0.022639116940453, 0.02177046119923825, 0.018549341440160315, 0.014409152492273437, 0.015639458286940404, 0.013781482930821569, 0.011089234969720406, 0.010933520824081548, 0.010327181976248065, 0.009213297987235304, 0.008263439954886131, 0.00563569850435116, 0.006742319335108218, 0.0069609588472699015]","[0.9086277484893799, 0.8882473111152649, 0.9541440606117249, 0.9758831858634949, 0.9881114363670349, 0.993546187877655, 0.99558424949646, 0.9972826242446899, 0.99660325050354, 0.99830162525177, 0.9979619979858398, 0.9979619979858398, 0.9976223111152649, 0.9976223111152649, 0.998641312122345, 0.9996603727340698, 0.9993206858634949, 0.9993206858634949, 0.9996603727340698, 1.0, 0.9989809989929199, 0.9996603727340698, 1.0, 1.0, 0.9996603727340698, 0.9993206858634949]","[0.5507510395153709, 0.33706867759642395, 0.2949216812849045, 0.2768246661061826, 0.27445334228484525, 0.25478682407866354, 0.251988608552062, 0.24786043782597003, 0.2502351014510445, 0.22908627857332645, 0.2538873433418896, 0.254925938728063, 0.2498648569959661, 0.2545797928519871, 0.2540666062546813, 0.2520225844953371, 0.25237535264181055, 0.2544174244546372, 0.24695057924027028, 0.2441745915490648, 0.26581397733610607, 0.2512326438141906, 0.26133529582749243, 0.2540765838778537, 0.2704313607967418, 0.2920240465065707]","[0.8899456858634949, 0.9225543737411499, 0.9198369979858398, 0.92527174949646, 0.9211956858634949, 0.9211956858634949, 0.9307065606117249, 0.917119562625885, 0.914402186870575, 0.92798912525177, 0.9198369979858398, 0.90625, 0.9225543737411499, 0.917119562625885, 0.9116848111152649, 0.9130434989929199, 0.9130434989929199, 0.9103261232376099, 0.9116848111152649, 0.9225543737411499, 0.9089674353599548, 0.91847825050354, 0.914402186870575, 0.91576087474823, 0.9211956858634949, 0.907608687877655]",1623.4426786899567,
"[0.02403050182265756, 0.046770729205530624, 0.04068426814173227, 0.03776790648091422, 0.033402394958893245, 0.02956473740303646, 0.02859080706358604, 0.026596948221001938, 0.02397907001938185, 0.0245852111130143, 0.02084328252417238, 0.018554508635450318, 0.019970782678169402, 0.018157282145693898, 0.018251195504411084, 0.01895236246206838, 0.016764616178672597, 0.01692662550561616, 0.015563733151951887, 0.016526483535847587, 0.015106148238334319, 0.013035473231550144, 0.014313079376259575, 0.012509216959385769, 0.013159722611105637, 0.013027602477687533]","[0.9996603727340698, 0.99660325050354, 0.99830162525177, 0.9989809989929199, 0.99830162525177, 0.9993206858634949, 0.9996603727340698, 0.9996603727340698, 0.9996603727340698, 0.9989809989929199, 1.0, 1.0, 0.9989809989929199, 1.0, 0.9989809989929199, 0.9996603727340698, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.251988608552062, 0.23961240474296652, 0.24591687224481418, 0.23620499055022778, 0.23318744175460027, 0.22726117123080336, 0.22980025491636732, 0.22418598247611005, 0.23260475047256635, 0.22614280749922214, 0.2282751251174056, 0.22956309127418892, 0.23112350362150566, 0.2195683520125306, 0.22491203669620596, 0.232690181421197, 0.22909262436239616, 0.22914121542935786, 0.22874131393821343, 0.2327701028274453, 0.23437250907654347, 0.22761317536882733, 0.22688272433436435, 0.2228078435620536, 0.21451596316436064, 0.22520440671107042]","[0.9307065606117249, 0.9211956858634949, 0.91847825050354, 0.9293478727340698, 0.926630437374115, 0.92798912525177, 0.926630437374115, 0.9225543737411499, 0.9211956858634949, 0.926630437374115, 0.9198369979858398, 0.9198369979858398, 0.9225543737411499, 0.91847825050354, 0.926630437374115, 0.9198369979858398, 0.917119562625885, 0.9198369979858398, 0.92527174949646, 0.91847825050354, 0.91847825050354, 0.9225543737411499, 0.926630437374115, 0.92527174949646, 0.9225543737411499, 0.917119562625885]",1776.0389490127563,
"[0.016747586348134537, 0.03206463168253717, 0.02899965688424266, 0.028472045234040073, 0.028235402919918946, 0.02722708544815364, 0.027414939649727032, 0.023885609106282176, 0.02482342560087209, 0.024368233877517607, 0.025788558849497982, 0.023477895812981802, 0.02279709773543088, 0.023084861438964373, 0.021115756421552404, 0.021667040601048782, 0.02227250196080169, 0.021031684161204357, 0.02080170610798118, 0.020698779196802363, 0.020819565554594865, 0.019655863916420418, 0.021309260623124632, 0.02074257753101056, 0.019320606264164267, 0.018213206254269764]","[0.9996603727340698, 0.9993206858634949, 0.9989809989929199, 0.998641312122345, 0.9996603727340698, 0.9993206858634949, 0.9993206858634949, 0.9996603727340698, 1.0, 0.9993206858634949, 0.9993206858634949, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 0.9996603727340698, 1.0, 0.9993206858634949, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0]","[0.23620499055022778, 0.23542707316253497, 0.23219048685353735, 0.22328238934278488, 0.2277302754961926, 0.2290648873085561, 0.22934791623898174, 0.22846473769649214, 0.22595630829101024, 0.23459257849532625, 0.22939484015755032, 0.22949074257327162, 0.22881273228837096, 0.22618906928793245, 0.2278813501091107, 0.2248456184954747, 0.23322583589216936, 0.23113237969253375, 0.22881305914210237, 0.2249853601274283, 0.22713249857011047, 0.22311503618307735, 0.22610990249592325, 0.22267533741567447, 0.2247965047540872, 0.2225218463851058]","[0.9293478727340698, 0.92527174949646, 0.9225543737411499, 0.9293478727340698, 0.92527174949646, 0.926630437374115, 0.9307065606117249, 0.9307065606117249, 0.9293478727340698, 0.9293478727340698, 0.92798912525177, 0.926630437374115, 0.9239130616188049, 0.9334239363670349, 0.9320652484893799, 0.9320652484893799, 0.9211956858634949, 0.9211956858634949, 0.9307065606117249, 0.9320652484893799, 0.9293478727340698, 0.938858687877655, 0.9293478727340698, 0.9375, 0.9293478727340698, 0.9293478727340698]",1859.441692829132,
"[0.008631079510846377, 0.020823456276127177, 0.021215450099628906, 0.019518608116018382, 0.01994594620824184, 0.020249707528147035, 0.020247204153312614, 0.019385641101626275, 0.01972631958272794, 0.019501297198155004, 0.017561703555933807, 0.01952901367685231, 0.01787779029742207, 0.017820580913077876, 0.017766114810238712, 0.018556322973302525, 0.018224046747807577, 0.018502334952759353, 0.01757881607171958, 0.01835542337199592, 0.017225775867700577, 0.017205104859464842, 0.017472554949800604, 0.017415453517890495, 0.016128801528121465, 0.017838620094825394]","[1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 0.9996603727340698, 1.0, 0.9996603727340698, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0]","[0.22311503618307735, 0.2272467643994352, 0.22975059242352194, 0.22295138499011163, 0.2217622928969238, 0.22818644522972728, 0.22425753607050233, 0.22399378195405006, 0.23279830165531323, 0.22315304337636285, 0.2228759371716043, 0.22843019810059798, 0.22878036162127618, 0.22600028680070586, 0.22588596169067465, 0.22658081239332323, 0.22677839855137077, 0.22531156679210457, 0.2285875789821148, 0.2214996385509553, 0.22111519685258035, 0.22461734550154727, 0.22690422768178192, 0.228507315982943, 0.22544120138754015, 0.2262851676863173]","[0.938858687877655, 0.9375, 0.92798912525177, 0.9320652484893799, 0.9307065606117249, 0.926630437374115, 0.9347826242446899, 0.9293478727340698, 0.92798912525177, 0.9307065606117249, 0.9334239363670349, 0.9320652484893799, 0.92798912525177, 0.92527174949646, 0.92798912525177, 0.926630437374115, 0.92798912525177, 0.9307065606117249, 0.926630437374115, 0.926630437374115, 0.9293478727340698, 0.926630437374115, 0.926630437374115, 0.9293478727340698, 0.9334239363670349, 0.926630437374115]",1896.657621383667,
"[0.008630468464537484, 0.018920860830289515, 0.019410312894488805, 0.019525343805308574, 0.0202592517370763, 0.019676643332628453, 0.019384697110027722, 0.018972481297248083, 0.019478380133438368, 0.01888800792031638, 0.018990180743655757, 0.02124150430419199, 0.019900124601047973, 0.018801684835520777, 0.01879313912080682, 0.020511118087755596, 0.01763621016162569, 0.018972339027601738, 0.01926861525229786, 0.020304715483570875, 0.01939010331609651, 0.02011071136423751, 0.018876656555854108, 0.020015885891473812, 0.0175475325010231, 0.019331060633387253]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 0.9996603727340698, 0.9993206858634949, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0]","[0.2272467643994352, 0.22477087086957434, 0.224481788666352, 0.22471260230826295, 0.22319935035446417, 0.2270842150825521, 0.22374614166176837, 0.22594850801903268, 0.22409663559949916, 0.2244180074852446, 0.22332724167600923, 0.22385810299412065, 0.22829393637569054, 0.22512582495160724, 0.22073871172640636, 0.22603941093320432, 0.2279649198703144, 0.22409577473350192, 0.22371151233496872, 0.22610349175722702, 0.22279212947772897, 0.2261201697199241, 0.22674579286704893, 0.22629587579032648, 0.2224106012803057, 0.2243050610565621]","[0.9375, 0.936141312122345, 0.9334239363670349, 0.9347826242446899, 0.9347826242446899, 0.9347826242446899, 0.9307065606117249, 0.9347826242446899, 0.936141312122345, 0.9375, 0.9375, 0.9375, 0.9347826242446899, 0.9375, 0.9375, 0.9307065606117249, 0.9347826242446899, 0.9334239363670349, 0.9334239363670349, 0.936141312122345, 0.936141312122345, 0.9334239363670349, 0.936141312122345, 0.9347826242446899, 0.9347826242446899, 0.9334239363670349]",1895.2263305187225,
"[0.00859730108641088, 0.018630780735174598, 0.019736850775940264, 0.018533687016157353, 0.020187574195797028, 0.019534546917344887, 0.02037207561585566, 0.02033712864731965, 0.019246834279645398, 0.020537979232714228, 0.019293759433228686, 0.020002884932024324, 0.018636868558014216, 0.017709153932114335, 0.0194266097539145, 0.01963459740838279, 0.018476291792467237, 0.0195685020931389, 0.018081756754089958, 0.019231484241216727, 0.019886022509561608, 0.019797362113857398, 0.01783407856102871, 0.018875554993586695, 0.01930149388499558, 0.020060343171834298]","[1.0, 0.9996603727340698, 1.0, 1.0, 0.9996603727340698, 0.9996603727340698, 0.9996603727340698, 0.9989809989929199, 0.9996603727340698, 0.9993206858634949, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 0.9993206858634949, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9993206858634949, 1.0]","[0.2244180074852446, 0.22415571449243504, 0.22491526879046275, 0.2275944713341153, 0.23010945579280023, 0.22758930630010107, 0.22945507729183073, 0.2278895732825217, 0.22728884803212207, 0.22462101345476898, 0.22452315380391868, 0.23047535105243974, 0.2293396648829398, 0.22748983959140984, 0.22440582108886345, 0.22496275555180467, 0.2248374677222708, 0.2241648187779862, 0.22887008685780608, 0.2250288553212, 0.22250727013401364, 0.22527112212517988, 0.22622739151120186, 0.22705559238143588, 0.23226496496278307, 0.2248313365423161]","[0.9375, 0.9347826242446899, 0.9320652484893799, 0.92798912525177, 0.9307065606117249, 0.9320652484893799, 0.9320652484893799, 0.92798912525177, 0.9307065606117249, 0.9334239363670349, 0.92798912525177, 0.9293478727340698, 0.9225543737411499, 0.92527174949646, 0.92798912525177, 0.9320652484893799, 0.926630437374115, 0.9293478727340698, 0.92527174949646, 0.926630437374115, 0.9293478727340698, 0.92798912525177, 0.9334239363670349, 0.9320652484893799, 0.92798912525177, 0.9347826242446899]",1902.691285610199,88.41646225129463
