Epoch,Top-1 Accuracy,Top-5 Accuracy,Total Loss,Supervised Loss,Unsupervised Loss
1,10.344827651977539,27.586206436157227,3.7184232473373413,3.7184232473373413,0.0
2,34.482757568359375,58.62068939208985,1.746167242527008,1.746167242527008,0.0
3,44.82758712768555,75.86206817626953,0.43034183979034424,0.41776518151164055,0.01257666111268918
4,55.17241287231445,79.31034088134766,0.2170935720205307,0.16930287517607212,0.04779070382937789
5,51.72413635253906,79.31034088134766,0.18042117916047573,0.06438022153452039,0.11604095622897148
6,41.379310607910156,82.75862121582031,0.18175430595874786,0.02797379472758621,0.1537805125117302
7,41.379310607910156,82.75862121582031,0.17936929315328598,0.02183556230738759,0.15753373317420483
8,44.82758712768555,75.86206817626953,0.17202827706933022,0.04234800161793828,0.12968027777969837
9,37.931034088134766,75.86206817626953,0.19186335429549217,0.019674575421959162,0.17218877747654915
10,37.931034088134766,72.4137954711914,0.1517511010169983,0.03033249161671847,0.12141861021518707
11,55.17241287231445,79.31034088134766,0.1613730601966381,0.022126856027171016,0.13924620486795902
12,37.931034088134766,82.75862121582031,0.16127891652286053,0.00882512261159718,0.15245379321277142
13,34.482757568359375,75.86206817626953,0.14882905967533588,0.017975863767787814,0.1308531928807497
14,44.82758712768555,79.31034088134766,0.15313459932804108,0.035320227150805295,0.11781436949968338
15,44.82758712768555,75.86206817626953,0.14625657349824905,0.018083479488268495,0.12817309610545635
