Epoch,Top-1 Accuracy,Top-5 Accuracy,Total Loss,Supervised Loss,Unsupervised Loss,Test Top-1 Accuracy,Test Top-5 Accuracy
1,13.793103218078613,24.137929916381836,3.736817955970764,3.736817955970764,0.0,0.0,0.0
1,3.4482758045196533,27.586206436157227,3.8683204650878906,3.8683204650878906,0.0,3.706732079585718,26.08340147179068
2,41.379310607910156,62.068965911865234,1.6645438969135284,1.6645438969135284,0.0,3.706732079585718,26.08340147179068
3,55.17241287231445,82.75862121582031,0.5137662217020988,0.5079666674137115,0.005799559527076781,3.706732079585718,26.08340147179068
4,62.068965911865234,82.75862121582031,0.192368071526289,0.148947199806571,0.04342087218537927,3.706732079585718,26.08340147179068
5,44.82758712768555,75.86206817626953,0.1295886356383562,0.06367303803563118,0.0659155985340476,3.706732079585718,26.08340147179068
6,48.27585983276367,82.75862121582031,0.21310612931847572,0.10220973077230155,0.1108963992446661,3.706732079585718,26.08340147179068
7,41.379310607910156,72.4137954711914,0.19235368631780148,0.043018347350880504,0.14933534152805805,3.706732079585718,26.08340147179068
8,24.137929916381836,72.4137954711914,0.1499217487871647,0.03028717718552798,0.11963457241654396,3.706732079585718,26.08340147179068
9,24.137929916381836,79.31034088134766,0.18968461826443672,0.08227028418332338,0.10741433221846819,3.706732079585718,26.08340147179068
10,24.137929916381836,65.51724243164062,0.16985178366303444,0.03041494684293866,0.13943683542311192,3.706732079585718,26.08340147179068
11,37.931034088134766,75.86206817626953,0.12440763227641582,0.03223454568069428,0.09217308647930622,3.706732079585718,26.08340147179068
12,48.27585983276367,82.75862121582031,0.13841791078448296,0.018601631047204137,0.11981628276407719,3.706732079585718,26.08340147179068
13,41.379310607910156,82.75862121582031,0.13980185613036156,0.025426708394661546,0.1143751498311758,3.706732079585718,26.08340147179068
14,37.931034088134766,82.75862121582031,0.13219436071813107,0.029177309246733785,0.10301705077290535,3.706732079585718,26.08340147179068
15,34.482757568359375,79.31034088134766,0.10673914011567831,0.020120510132983327,0.08661862928420305,3.706732079585718,26.08340147179068
16,41.379310607910156,82.75862121582031,0.11345956102013588,0.017009135452099144,0.09645042475312948,3.706732079585718,26.08340147179068
17,34.482757568359375,79.31034088134766,0.13875610567629337,0.008995555224828422,0.12976054847240448,3.706732079585718,26.08340147179068
18,48.27585983276367,79.31034088134766,0.1378562245517969,0.03534039668738842,0.10251582972705364,3.706732079585718,26.08340147179068
19,37.931034088134766,79.31034088134766,0.12285781651735306,0.005290240340400487,0.11756757460534573,3.706732079585718,26.08340147179068
20,44.82758712768555,82.75862121582031,0.11863675992935896,0.006061421358026564,0.11257533729076385,3.706732079585718,26.08340147179068
