train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,final_accuracy
"[4.033727604409923, 3.5096361870351047, 2.943190227384153, 2.4773887162623196, 2.1062412559986115, 1.8030707745448402, 1.5710848466209744, 1.3580778098624686, 1.2297290103591008, 1.100561168530713, 0.9949311847272126, 0.9118371029262957, 0.853377090200134, 0.7913239977282026, 0.7395306909861772, 0.7047405320665111, 0.6585439774005309, 0.6264084383197452, 0.5965885118297909, 0.5866020247340202, 0.5533104843419531, 0.5206703116064486, 0.5144282174499138, 0.4850471113686976, 0.4771835716522258, 0.46026539834945096]","[0.0234375, 0.0726902186870575, 0.32778534293174744, 0.553328812122345, 0.6745923757553101, 0.7445652484893799, 0.778192937374115, 0.8243886232376099, 0.8254076242446899, 0.84714674949646, 0.8644701242446899, 0.8722826242446899, 0.8807744979858398, 0.88111412525177, 0.88620924949646, 0.893682062625885, 0.8984375, 0.9025136232376099, 0.901494562625885, 0.899796187877655, 0.9052309989929199, 0.91066575050354, 0.9055706858634949, 0.9116848111152649, 0.9130434989929199, 0.91576087474823]","[4.008450280065122, 3.188763359318609, 2.678997164187224, 2.275893449783325, 1.92758630151334, 1.6543586979741636, 1.4438025122103484, 1.262379949507506, 1.1412721561348957, 1.0349467733631963, 0.9477243889933047, 0.8771658565687097, 0.8260966487552809, 0.7656798142453899, 0.7299898279749829, 0.6988401672114497, 0.6581873310648877, 0.6328415002511896, 0.603621455638305, 0.5802052357922429, 0.5709335687367812, 0.5489195714826169, 0.5364727326061415, 0.5198724490144978, 0.5036469710909802, 0.4947063262047975]","[0.03532608598470688, 0.1820652186870575, 0.4741847813129425, 0.623641312122345, 0.7228261232376099, 0.7635869979858398, 0.804347813129425, 0.8192934989929199, 0.83423912525177, 0.845108687877655, 0.851902186870575, 0.86277174949646, 0.8586956858634949, 0.875, 0.8709239363670349, 0.8777174353599548, 0.8817934989929199, 0.8804348111152649, 0.883152186870575, 0.8790761232376099, 0.8777174353599548, 0.885869562625885, 0.8926630616188049, 0.88451087474823, 0.8899456858634949, 0.8899456858634949]",686.6985561847687,
"[0.4359011977263119, 0.39164174995992496, 0.1706691973073327, 0.11332104014961616, 0.08297355916432064, 0.05129374776278501, 0.04677895574992442, 0.03564270997784384, 0.03424293200647378, 0.024562962105214272, 0.025787133237589962, 0.030913074402158836, 0.018135305448516232, 0.015480737414453988, 0.01977060061282195, 0.016056837142019977, 0.021814597537741065, 0.026842541094241744, 0.032334026240278035, 0.02313805885521857, 0.03241537880587756, 0.03545573737937957, 0.01787338329165283, 0.01937231240900355, 0.013279701187022274, 0.011137051150359659]","[0.9307065606117249, 0.8943614363670349, 0.957880437374115, 0.97214674949646, 0.983016312122345, 0.9918478727340698, 0.9894701242446899, 0.9942255616188049, 0.9949049353599548, 0.99660325050354, 0.9959239363670349, 0.9921875, 0.9979619979858398, 0.9972826242446899, 0.99558424949646, 0.9972826242446899, 0.99388587474823, 0.993546187877655, 0.9918478727340698, 0.9962636232376099, 0.990828812122345, 0.9911684989929199, 0.9972826242446899, 0.9949049353599548, 0.9962636232376099, 0.9976223111152649]","[0.5364727326061415, 0.28780459385851154, 0.2815400494829468, 0.2690855397478394, 0.2683726701399554, 0.29818377384672995, 0.2708374171153359, 0.26446812907638756, 0.2487560405355433, 0.25823967320763547, 0.3380721078618713, 0.2853181486058494, 0.2788702375053064, 0.27232942770680657, 0.25635244243818783, 0.28992732484703476, 0.3165201235400594, 0.37980710650267807, 0.37261985112791474, 0.27654036296450574, 0.42880251776912937, 0.33566744949506677, 0.33270848315695056, 0.2663289888397507, 0.38981317372425744, 0.31145773682257405]","[0.8926630616188049, 0.91576087474823, 0.9116848111152649, 0.9198369979858398, 0.9211956858634949, 0.904891312122345, 0.9198369979858398, 0.92527174949646, 0.914402186870575, 0.9239130616188049, 0.8899456858634949, 0.917119562625885, 0.917119562625885, 0.9089674353599548, 0.9116848111152649, 0.9089674353599548, 0.9103261232376099, 0.895380437374115, 0.89673912525177, 0.91576087474823, 0.875, 0.907608687877655, 0.904891312122345, 0.9130434989929199, 0.898097813129425, 0.91847825050354]",655.1118776798248,
"[0.013287551761807306, 0.03204703310241356, 0.026872566941639652, 0.030533223650823144, 0.018762051798504494, 0.014407526286642837, 0.01364711232473264, 0.01193785927835447, 0.015012289172180159, 0.012774177406833547, 0.013841853930068242, 0.011329134630100072, 0.013236131946778978, 0.011064035699034677, 0.010690268070902675, 0.009545889093398886, 0.008793030700990525, 0.006686730950605124, 0.008204756823429108, 0.007304753136375676, 0.008217599265702554, 0.00569462147794421, 0.008057464159640444, 0.006189247680595145, 0.0052760913322740435, 0.005556796151010886]","[0.9976223111152649, 0.9959239363670349, 0.996942937374115, 0.99558424949646, 0.9993206858634949, 0.9993206858634949, 1.0, 0.9996603727340698, 0.9989809989929199, 0.9993206858634949, 0.9989809989929199, 0.9989809989929199, 0.998641312122345, 0.9996603727340698, 0.9993206858634949, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 0.9989809989929199, 1.0, 0.9993206858634949, 1.0, 1.0, 1.0]","[0.26446812907638756, 0.2804813031917033, 0.2617894362496293, 0.2657270075186439, 0.22876085340976715, 0.22040833354644154, 0.22776103910544646, 0.2706109678939633, 0.24725921549226926, 0.24320771415596423, 0.24198321990020896, 0.2582435212705446, 0.28731690881692845, 0.24423062372142854, 0.24316985152013923, 0.24309615985206937, 0.2296825976151487, 0.2235250126408494, 0.23565691482761633, 0.23237173275455184, 0.22959150292951128, 0.2242956798037757, 0.24230025336146355, 0.22971964384550633, 0.22202033857288567, 0.21890510861640392]","[0.92527174949646, 0.9211956858634949, 0.91576087474823, 0.9239130616188049, 0.926630437374115, 0.936141312122345, 0.9198369979858398, 0.917119562625885, 0.9211956858634949, 0.91576087474823, 0.9225543737411499, 0.91576087474823, 0.9103261232376099, 0.926630437374115, 0.92798912525177, 0.92798912525177, 0.9334239363670349, 0.9307065606117249, 0.926630437374115, 0.926630437374115, 0.938858687877655, 0.926630437374115, 0.9347826242446899, 0.9307065606117249, 0.92798912525177, 0.9347826242446899]",710.5989029407501,
"[0.0015706304889729085, 0.006560968791904009, 0.006510582023664661, 0.007560696872963529, 0.0061106256831882765, 0.005200452163673775, 0.005217964921662908, 0.0054376908292001844, 0.005692484805046622, 0.004625884917281244, 0.004861519284769083, 0.005737510633796615, 0.0052450990605512225, 0.004956544251636724, 0.0047370941066891764, 0.004931110058627699, 0.0043831143323230844, 0.0045305856936307546, 0.0040727904605497, 0.004553289083085711, 0.004290881680587873, 0.004868474766186884, 0.003983656588547013, 0.004165668272079252, 0.0047651318929401104, 0.004582201421726495]","[1.0, 1.0, 0.9993206858634949, 0.9993206858634949, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0]","[0.22959150292951128, 0.23435820541951968, 0.24994145430948422, 0.24168668525374454, 0.23579747100239215, 0.2361389599416567, 0.23706147625394489, 0.22480077620433725, 0.226426361857549, 0.21322629179643549, 0.2166436785913032, 0.22583994941542979, 0.21902347582837808, 0.22240926357715027, 0.21472128043356148, 0.20578562646456386, 0.20678724607695703, 0.20944412627621836, 0.2101276840042809, 0.21233763480963913, 0.21905235800406206, 0.2291466380752947, 0.20764799999154132, 0.2119957433770532, 0.2215858092126639, 0.21717794498671655]","[0.938858687877655, 0.9225543737411499, 0.926630437374115, 0.9320652484893799, 0.9334239363670349, 0.9334239363670349, 0.936141312122345, 0.938858687877655, 0.9320652484893799, 0.9375, 0.9347826242446899, 0.9334239363670349, 0.9347826242446899, 0.9307065606117249, 0.936141312122345, 0.9320652484893799, 0.9375, 0.936141312122345, 0.9334239363670349, 0.9375, 0.9334239363670349, 0.9198369979858398, 0.936141312122345, 0.9293478727340698, 0.9320652484893799, 0.92527174949646]",739.1142868995667,
"[0.0013981347444274909, 0.004997649513508963, 0.006898851251563705, 0.005337267111905891, 0.004916161904870735, 0.005354015724784087, 0.004873023207714457, 0.0054673108034362285, 0.005039835865001964, 0.004888020993625421, 0.005869270650335871, 0.004843495401513317, 0.005142838635947555, 0.004230205461878896, 0.004936547064141411, 0.004782741864049888, 0.004919965790696037, 0.0053531292081891516, 0.004991728288587183, 0.004965913284610471, 0.004547485946323318, 0.005244685653293424, 0.004591354325859119, 0.004501095332670957, 0.004464897416967332, 0.0065842037058799815]","[1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 0.9996603727340698]","[0.22480077620433725, 0.22404535957004712, 0.22830546274781227, 0.22731825029072555, 0.23256600712952408, 0.2226901606697103, 0.21616293992037358, 0.2219875846867976, 0.21937416704452556, 0.21872857018657352, 0.21878138378910397, 0.22479726228377092, 0.22466557910260948, 0.21891733129387317, 0.22611895397953366, 0.21177997764038003, 0.2257388198505277, 0.23513696423691252, 0.22107163136420044, 0.23441612105006757, 0.22379004582762718, 0.22996709366207538, 0.22355270725877388, 0.22591203629322673, 0.22469329914968947, 0.2192546798159247]","[0.938858687877655, 0.9307065606117249, 0.9293478727340698, 0.926630437374115, 0.9239130616188049, 0.9293478727340698, 0.9320652484893799, 0.9320652484893799, 0.9320652484893799, 0.9320652484893799, 0.936141312122345, 0.9334239363670349, 0.92798912525177, 0.9320652484893799, 0.926630437374115, 0.9375, 0.9293478727340698, 0.9225543737411499, 0.9293478727340698, 0.9239130616188049, 0.9347826242446899, 0.9320652484893799, 0.9293478727340698, 0.9293478727340698, 0.92798912525177, 0.9307065606117249]",775.734313249588,
"[0.0013096738504195262, 0.005023782614760263, 0.004573513604396873, 0.004425026342252512, 0.004487703048178683, 0.00492550454446641, 0.004495478404746594, 0.004549061964296371, 0.004791805242269259, 0.005027553574030247, 0.004231078500869562, 0.004966497112510969, 0.004250703752800094, 0.004329853152107124, 0.004148027247182377, 0.004494918263567935, 0.005238163875891705, 0.004253589287501476, 0.005617232674368373, 0.004711557754173713, 0.004850270737812895, 0.005691874941871704, 0.00456535192358348, 0.004162447558685571, 0.004989907826276739, 0.00458473912389625]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0]","[0.21177997764038003, 0.22547354597760283, 0.21893493037508882, 0.21452326197987018, 0.2144637935511444, 0.21951027975782103, 0.21360324938660083, 0.21618078827210094, 0.21907860656147418, 0.22324080684262773, 0.21938270330429077, 0.2172038410992726, 0.21247363560225652, 0.2161949234812156, 0.21305119424410487, 0.2202602257223233, 0.21710283649356468, 0.2123650304325249, 0.21893978944939116, 0.2181312573020873, 0.21820933339388474, 0.21498462347232777, 0.2164920163543328, 0.2137671798143698, 0.21191180319241856, 0.21714937573541765]","[0.9375, 0.9320652484893799, 0.9375, 0.9320652484893799, 0.9347826242446899, 0.9334239363670349, 0.9347826242446899, 0.9293478727340698, 0.9334239363670349, 0.9320652484893799, 0.9320652484893799, 0.9347826242446899, 0.9347826242446899, 0.9347826242446899, 0.9347826242446899, 0.936141312122345, 0.9347826242446899, 0.938858687877655, 0.9320652484893799, 0.936141312122345, 0.9307065606117249, 0.9334239363670349, 0.9334239363670349, 0.9375, 0.938858687877655, 0.936141312122345]",812.2403819561005,
"[0.0012827942548977696, 0.00477804090200073, 0.004838227219727781, 0.004764581892548291, 0.004841543150731646, 0.004701219575034212, 0.005026189081431569, 0.004457432270535956, 0.004116699684148088, 0.004287391250608894, 0.0045167335078788355, 0.004486441409782223, 0.00496988201453148, 0.004612297120848266, 0.004279535852180308, 0.004637471393874401, 0.004437790197856805, 0.004450576482391309, 0.004333793418481946, 0.004252435137143197, 0.005104445972550741, 0.00460027582163963, 0.005182838063616225, 0.004285216900904704, 0.00433010049417372, 0.0044982892602844085]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2123650304325249, 0.22084504722253137, 0.2208596961977689, 0.2198529873529206, 0.22458020338545676, 0.2253896457993466, 0.22461734728320784, 0.21760091963021652, 0.21818054192092107, 0.2214511428838191, 0.2245154474740443, 0.22841747639619786, 0.216613894895367, 0.22469958630592926, 0.21392420452574026, 0.22902891963072444, 0.21846018569624942, 0.21434221287136493, 0.21376218857324641, 0.22406335709535558, 0.22280865486549295, 0.21223788092965665, 0.2182994036246901, 0.2214929644504319, 0.21313337123264436, 0.2164023309622122]","[0.938858687877655, 0.9347826242446899, 0.9307065606117249, 0.9293478727340698, 0.9293478727340698, 0.9320652484893799, 0.9320652484893799, 0.9375, 0.9347826242446899, 0.9334239363670349, 0.9334239363670349, 0.9307065606117249, 0.9375, 0.9334239363670349, 0.9320652484893799, 0.9320652484893799, 0.9320652484893799, 0.936141312122345, 0.938858687877655, 0.9334239363670349, 0.936141312122345, 0.9375, 0.9320652484893799, 0.9293478727340698, 0.9320652484893799, 0.9334239363670349]",806.6600937843323,89.8337421640774
