train_losses,train_accuracies,val_losses,val_accuracies,elapsed_time,final_accuracy
"[3.9583673062531846, 3.566507072552391, 3.0334376355876094, 2.6116028039351753, 2.2667013795479485, 1.9667169335095778, 1.7385462820529938, 1.5555232815120532, 1.3879827209140942, 1.2720587901447131, 1.170761452420898, 1.0765427590712258, 1.0067887688460557, 0.9348377073588579, 0.8852990444587625, 0.8469233746113984, 0.7932571172714233, 0.7595393968665082, 0.7278055917957554, 0.6880312247768693, 0.6611026107617046, 0.6431148664458938, 0.6121825941878817, 0.5973996672293415, 0.5705711498208668, 0.5638628890332968]","[0.010529891587793827, 0.07201086729764938, 0.2883831560611725, 0.4962635934352875, 0.6209239363670349, 0.7241848111152649, 0.7472826242446899, 0.7832880616188049, 0.80910325050354, 0.819972813129425, 0.8383152484893799, 0.8474864363670349, 0.8525815606117249, 0.8651494979858398, 0.864130437374115, 0.8709239363670349, 0.8828125, 0.8773777484893799, 0.8828125, 0.890285313129425, 0.893682062625885, 0.884171187877655, 0.8926630616188049, 0.8977581858634949, 0.9004755616188049, 0.895380437374115]","[3.9665949448295263, 3.2563313297603442, 2.780637264251709, 2.3954541061235513, 2.0740525204202402, 1.7978687752848086, 1.597859527753747, 1.4391495559526526, 1.3003562326016633, 1.194303116072779, 1.1127878012864485, 1.0366984061572864, 0.9709575850030651, 0.9172203488971876, 0.861693333024564, 0.8301373357358186, 0.7939984953921774, 0.7640754399092301, 0.7332444346469381, 0.7117475271224976, 0.6870299577713013, 0.6691565746846406, 0.6523055421269458, 0.6265061964159426, 0.6074870578620745, 0.6107774674892426]","[0.01222826074808836, 0.1779891401529312, 0.40625, 0.573369562625885, 0.6739130616188049, 0.720108687877655, 0.75951087474823, 0.770380437374115, 0.789402186870575, 0.8125, 0.8192934989929199, 0.83152174949646, 0.8369565606117249, 0.832880437374115, 0.835597813129425, 0.83152174949646, 0.8396739363670349, 0.84375, 0.8491848111152649, 0.845108687877655, 0.851902186870575, 0.851902186870575, 0.851902186870575, 0.8573369979858398, 0.854619562625885, 0.8586956858634949]",651.3583552837372,
"[0.4835656427818796, 0.43297137449616974, 0.21863166842123735, 0.1460033093943544, 0.10073618789243957, 0.07298620761898549, 0.05950345495796722, 0.045826953501724034, 0.03803862879336204, 0.029905147415221385, 0.024606661881198703, 0.021369473704987246, 0.020257141385429903, 0.016229935774944075, 0.017348263842944543, 0.01567631152600212, 0.01633106876650582, 0.014698462621511324, 0.012135369181835456, 0.01308657455197333, 0.009815399977884701, 0.010762699603852208, 0.01901109814492014, 0.012920901918297877, 0.008866852101282742, 0.009735227205648856]","[0.9113451242446899, 0.8943614363670349, 0.956182062625885, 0.9775815606117249, 0.985733687877655, 0.9928668737411499, 0.9928668737411499, 0.99830162525177, 0.9972826242446899, 0.9979619979858398, 0.9993206858634949, 0.9989809989929199, 0.9989809989929199, 0.9989809989929199, 0.998641312122345, 0.9989809989929199, 0.9976223111152649, 0.9989809989929199, 1.0, 0.998641312122345, 0.9996603727340698, 0.9996603727340698, 0.9972826242446899, 0.9989809989929199, 0.9989809989929199, 0.9996603727340698]","[0.6107774674892426, 0.39005888804145483, 0.3607753580031188, 0.350254717728366, 0.33732946346635406, 0.33470333367586136, 0.35301943188128265, 0.34944825165945553, 0.34063888308794604, 0.3440167920097061, 0.33866715463607205, 0.3470131111857684, 0.34877738972073014, 0.3604072685474935, 0.351688733243424, 0.3340888509283895, 0.33813707012197247, 0.37027355769406195, 0.34807284143955813, 0.36087680122126703, 0.3674798160791397, 0.36135055319122644, 0.3866287926616876, 0.36497270121522574, 0.362857091686, 0.3859999474623929]","[0.8586956858634949, 0.883152186870575, 0.8913043737411499, 0.8899456858634949, 0.8899456858634949, 0.8804348111152649, 0.883152186870575, 0.8804348111152649, 0.885869562625885, 0.8885869979858398, 0.8899456858634949, 0.8926630616188049, 0.9008152484893799, 0.883152186870575, 0.8913043737411499, 0.88722825050354, 0.8885869979858398, 0.8777174353599548, 0.8899456858634949, 0.8885869979858398, 0.8885869979858398, 0.876358687877655, 0.8777174353599548, 0.885869562625885, 0.88451087474823, 0.88451087474823]",643.6448156833649,
"[0.007621388077614424, 0.017818641879231385, 0.013725930227614615, 0.012547406165496162, 0.013691195595564077, 0.01206121013155612, 0.009847752309566282, 0.012190303188222259, 0.010546529569420154, 0.01028271542062335, 0.008288094455011837, 0.009485721107288871, 0.009703114203622808, 0.00937282647330152, 0.008160014373614737, 0.008353897388113419, 0.00818153165290942, 0.008259680818098233, 0.006677327757326724, 0.0066357145602207466, 0.006463247346286865, 0.007535552699625006, 0.006007954921148232, 0.006370638555381447, 0.006876084809292755, 0.007699854477085983]","[1.0, 0.9989809989929199, 1.0, 0.9996603727340698, 0.9996603727340698, 1.0, 1.0, 0.9993206858634949, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 0.9996603727340698]","[0.34877738972073014, 0.35006657534319424, 0.35198152972304303, 0.33755654388147854, 0.3601914699310842, 0.33703948411604634, 0.35110870084684825, 0.35669285382913507, 0.33722597036672675, 0.34816391053407086, 0.3517615305988685, 0.3433334347994431, 0.34353585508854495, 0.3545224802649539, 0.35636642607657804, 0.3584413470133491, 0.3368333166708117, 0.3665287766767585, 0.3491642789348312, 0.33841192560351413, 0.34130219629277353, 0.3471159270924071, 0.34977281935836957, 0.3517397334394248, 0.36176377405291016, 0.35348420622556104]","[0.9008152484893799, 0.8926630616188049, 0.8899456858634949, 0.8926630616188049, 0.8885869979858398, 0.8913043737411499, 0.8926630616188049, 0.8926630616188049, 0.895380437374115, 0.8926630616188049, 0.895380437374115, 0.89402174949646, 0.89402174949646, 0.88451087474823, 0.8899456858634949, 0.8926630616188049, 0.88451087474823, 0.8899456858634949, 0.8899456858634949, 0.898097813129425, 0.895380437374115, 0.8913043737411499, 0.8885869979858398, 0.8926630616188049, 0.8913043737411499, 0.89673912525177]",634.2957682609558,
"[0.002158073755234237, 0.0070555707839641555, 0.007316034026545189, 0.00694039025414816, 0.005743689209971901, 0.006846475321293363, 0.006910388385775783, 0.005028821545673291, 0.0054384085359861665, 0.005584385182769241, 0.005733156660268002, 0.004894535907584688, 0.006244640164684666, 0.0054021161176142805, 0.005441704200600962, 0.005136105834263499, 0.005299674143316224, 0.0050361839720331454, 0.005186200508868079, 0.005450497140966194, 0.005146003171356152, 0.0050304010130829465, 0.004709807022110275, 0.004578220951573357, 0.004352781182640921, 0.004561979312237109]","[1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.33841192560351413, 0.3462140184381734, 0.34556805374829663, 0.334877143735471, 0.3386423477660055, 0.32824750471374264, 0.34219814772191254, 0.33834202458029206, 0.3346253445614939, 0.3283285712418349, 0.3372432508546373, 0.33213572268900665, 0.3464478947546171, 0.33846132522043976, 0.33605244836729503, 0.3358900712236114, 0.3347103673478831, 0.32410380373830383, 0.32628371048232785, 0.3297474888031897, 0.33240816385849664, 0.32394663730393286, 0.3227076498062714, 0.319671637662079, 0.32677714056942775, 0.32673085756275966]","[0.898097813129425, 0.898097813129425, 0.8926630616188049, 0.8899456858634949, 0.8899456858634949, 0.895380437374115, 0.89402174949646, 0.9008152484893799, 0.9008152484893799, 0.904891312122345, 0.89673912525177, 0.904891312122345, 0.895380437374115, 0.89673912525177, 0.9021739363670349, 0.9008152484893799, 0.89673912525177, 0.90625, 0.9035326242446899, 0.9008152484893799, 0.898097813129425, 0.904891312122345, 0.907608687877655, 0.9103261232376099, 0.9008152484893799, 0.8994565606117249]",658.9360554218292,
"[0.0015584549261763207, 0.004886075072294182, 0.00507997127968575, 0.00472848607687806, 0.004905517258600373, 0.004603805744251155, 0.005262180757911309, 0.0046673015433201645, 0.0048105704658867226, 0.00462585074685352, 0.004377762011363698, 0.004380586874701649, 0.0043095339180739675, 0.004346407133751833, 0.004593500348678587, 0.004619196361011785, 0.004575381189604978, 0.004933384684947036, 0.0050950807686287744, 0.004663641997309321, 0.004677266889737676, 0.004874819603687881, 0.004420528598332211, 0.004181695603461855, 0.004661610742281799, 0.004891529909598276]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.319671637662079, 0.33498111626376276, 0.33076099192966585, 0.32609542216295784, 0.32505842913752014, 0.32177637679421384, 0.323937531074752, 0.3260666319857473, 0.32888226016708044, 0.3308881965020429, 0.3328014213753783, 0.33649898450011795, 0.3315712987728741, 0.3307098930944567, 0.3275540428964988, 0.33580595481654874, 0.3408740172567575, 0.33582604773666547, 0.3363538280777309, 0.32927359478629153, 0.3356737374611523, 0.3316016679872637, 0.3288825539791066, 0.33137778581484506, 0.3305139233884604, 0.3347038759485535]","[0.9103261232376099, 0.898097813129425, 0.9035326242446899, 0.907608687877655, 0.90625, 0.9089674353599548, 0.9089674353599548, 0.907608687877655, 0.904891312122345, 0.9089674353599548, 0.9103261232376099, 0.9008152484893799, 0.9089674353599548, 0.90625, 0.90625, 0.9035326242446899, 0.9089674353599548, 0.904891312122345, 0.904891312122345, 0.9035326242446899, 0.9035326242446899, 0.9021739363670349, 0.907608687877655, 0.904891312122345, 0.9021739363670349, 0.9035326242446899]",690.4503002166748,
"[0.00153554865075579, 0.00453033488061603, 0.004869832769896754, 0.0047413910544254695, 0.004422982376443384, 0.00444513907575089, 0.004271333090677534, 0.005069454974980782, 0.004799326578074176, 0.004272931976669022, 0.004548483402923803, 0.004723860120461525, 0.004481608764288704, 0.004798735722231314, 0.0044030394764495604, 0.004190709374834905, 0.004795871414345405, 0.004476623173104599, 0.005063235921704251, 0.004661576965388477, 0.00434734852119025, 0.00479021495329621, 0.0044536730464365655, 0.004467988719546195, 0.0048940201978320665, 0.0046806341472446274]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3328014213753783, 0.3295985738868299, 0.3342492700270984, 0.33166156255680584, 0.3330344687337461, 0.33098367828389874, 0.3319868254272834, 0.3327846212879471, 0.3339820379472297, 0.33224157017210254, 0.3314104465686757, 0.33608730882406235, 0.3368441948424215, 0.33373959686445154, 0.332454992701178, 0.3313036716502646, 0.3316112212512804, 0.3316899738881899, 0.3322840481996536, 0.33030832332113513, 0.334317558809467, 0.33372452952291654, 0.3361338752767314, 0.33869164890569187, 0.33601192158201465, 0.32919865749452426]","[0.9103261232376099, 0.907608687877655, 0.9089674353599548, 0.9089674353599548, 0.907608687877655, 0.9089674353599548, 0.907608687877655, 0.9103261232376099, 0.907608687877655, 0.907608687877655, 0.90625, 0.907608687877655, 0.9035326242446899, 0.907608687877655, 0.9021739363670349, 0.90625, 0.9089674353599548, 0.907608687877655, 0.90625, 0.9021739363670349, 0.9089674353599548, 0.9103261232376099, 0.90625, 0.90625, 0.9008152484893799, 0.9103261232376099]",676.0458846092224,
"[0.001422557180732205, 0.004607631964102873, 0.004299385495909044, 0.0050368155454002, 0.004309370708854302, 0.004510138101582213, 0.004896370278995322, 0.004336488736874383, 0.004438932415644597, 0.004523543580232755, 0.004799258615568523, 0.0043944715175514475, 0.004632708625412424, 0.004709346488158664, 0.004406706288294948, 0.004302107152002661, 0.005603146286296617, 0.004293791756145251, 0.004423529165290782, 0.004482589231844506, 0.004632350133286546, 0.004508795293867993, 0.005018407454886271, 0.004790408002799782, 0.004775095713304599, 0.004301844430459744]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996603727340698, 1.0, 1.0]","[0.3327846212879471, 0.33042723231989407, 0.33889604133108386, 0.32772207033375034, 0.3278741311767827, 0.3317893040568932, 0.3290152867203173, 0.3328920570404633, 0.32533187160025473, 0.33099253248909244, 0.32601995377436926, 0.3362523343252099, 0.3280349409450655, 0.33664307095434354, 0.3313904916462691, 0.3334531456879947, 0.33536394717900647, 0.3342022260893946, 0.33003545422916825, 0.3286067127533581, 0.340228958622269, 0.3284921218519625, 0.3281066161782845, 0.33728571608662605, 0.3320984092095624, 0.3316276238664337]","[0.9103261232376099, 0.9089674353599548, 0.90625, 0.9103261232376099, 0.907608687877655, 0.90625, 0.9089674353599548, 0.9103261232376099, 0.904891312122345, 0.9008152484893799, 0.9116848111152649, 0.907608687877655, 0.90625, 0.904891312122345, 0.907608687877655, 0.904891312122345, 0.9008152484893799, 0.904891312122345, 0.907608687877655, 0.9008152484893799, 0.9008152484893799, 0.9116848111152649, 0.9089674353599548, 0.898097813129425, 0.9089674353599548, 0.9021739363670349]",685.1016030311584,88.96156991005724
